"Isolation","Trait","Observed_PN","Percent_PN"
"Bromeliad","Glucose_F",0,0.889
"Bromeliad","Galactose_F",2,1
"Bromeliad","Sucrose_F",2,1
"Bromeliad","Maltose_F",0,0.621
"Bromeliad","Lactose_F",1,0.734
"Bromeliad","Raffinose_F",1,0.828
"Bromeliad","Trehalose_F",2,1
"Bromeliad","Glucose",0,1
"Bromeliad","Inulin",2,1
"Bromeliad","Sucrose",0,0.86
"Bromeliad","Raffinose",2,1
"Bromeliad","Melibiose",2,1
"Bromeliad","Galactose",1,0.952
"Bromeliad","Lactose",2,1
"Bromeliad","Trehalose",0,0.914
"Bromeliad","Maltose",0,0.822
"Bromeliad","Melezitose",0,0.782
"Bromeliad","Methyl-?-D-glucoside",0,0.779
"Bromeliad","Soluble Starch",2,1
"Bromeliad","Cellobiose",0,0.866
"Bromeliad","Salicin",0,0.857
"Bromeliad","L-Sorbose",0,0.808
"Bromeliad","L-Rhamnose",1,0.823
"Bromeliad","D-Xylose",0,0.907
"Bromeliad","L-Arabinose",2,1
"Bromeliad","D-Arabinose",2,1
"Bromeliad","D-Ribose",1,0.873
"Bromeliad","Methanol",2,1
"Bromeliad","Ethanol",0,0.938
"Bromeliad","Glycerol",0,0.969
"Bromeliad","Erythritol",0,0.696
"Bromeliad","Ribitol",0,0.853
"Bromeliad","Galactitol",2,1
"Bromeliad","D-Mannitol",0,0.951
"Bromeliad","D-Glucitol",0,0.941
"Bromeliad","myo-Inositol",2,1
"Bromeliad","DL-Lactate",2,1
"Bromeliad","Succinate",2,1
"Bromeliad","Citrate",1,0.942
"Bromeliad","D-Gluconate",0,0.813
"Bromeliad","D-Glucosamine",1,0.883
"Bromeliad","Nitrate",2,1
"Bromeliad","Vitamin-free",0,0.633
"Bromeliad","2-Keto-D-gluconate",1,0.9
"Bromeliad","Starch formation",1,0.776
"Bromeliad","Growth at 19°C",0,0.996
"Bromeliad","Growth at 25°C",0,0.992
"Bromeliad","Growth at 30°C",0,0.96
"Bromeliad","Growth at 37°C",2,1
"Flower","Glucose_F",7,0.028
"Flower","Galactose_F",63,0.872
"Flower","Sucrose_F",59,0.474
"Flower","Maltose_F",59,0.234
"Flower","Lactose_F",69,0.042
"Flower","Raffinose_F",64,0.296
"Flower","Trehalose_F",55,0.568
"Flower","Glucose",0,1
"Flower","Inulin",75,0.91
"Flower","Sucrose",16,0.098
"Flower","Raffinose",63,0.806
"Flower","Melibiose",77,0.869
"Flower","Galactose",9,0.016
"Flower","Lactose",77,0.895
"Flower","Trehalose",29,0.845
"Flower","Maltose",19,0.099
"Flower","Melezitose",27,0.09
"Flower","Methyl-?-D-glucoside",42,0.556
"Flower","Soluble Starch",74,0.975
"Flower","Cellobiose",25,0.54
"Flower","Salicin",24,0.429
"Flower","L-Sorbose",8,0
"Flower","L-Rhamnose",78,0.997
"Flower","D-Xylose",23,0.652
"Flower","L-Arabinose",71,0.985
"Flower","D-Arabinose",66,0.892
"Flower","D-Ribose",48,0.645
"Flower","Methanol",80,0.973
"Flower","Ethanol",16,0.748
"Flower","Glycerol",12,0.841
"Flower","Erythritol",78,0.996
"Flower","Ribitol",27,0.447
"Flower","Galactitol",76,0.875
"Flower","D-Mannitol",10,0.456
"Flower","D-Glucitol",8,0.236
"Flower","myo-Inositol",81,1
"Flower","DL-Lactate",59,0.989
"Flower","Succinate",15,0.719
"Flower","Citrate",28,0.518
"Flower","D-Gluconate",26,0.215
"Flower","D-Glucosamine",45,0.407
"Flower","Nitrate",72,0.798
"Flower","Vitamin-free",71,0.916
"Flower","2-Keto-D-gluconate",24,0.023
"Flower","Starch formation",78,0.981
"Flower","Growth at 19°C",1,0.946
"Flower","Growth at 25°C",1,0.895
"Flower","Growth at 30°C",6,0.494
"Flower","Growth at 37°C",51,0.788
"Cactus","Glucose_F",18,0.595
"Cactus","Galactose_F",36,0.759
"Cactus","Sucrose_F",36,0.613
"Cactus","Maltose_F",38,0.633
"Cactus","Lactose_F",46,0.824
"Cactus","Raffinose_F",41,0.622
"Cactus","Trehalose_F",35,0.621
"Cactus","Glucose",0,1
"Cactus","Inulin",44,0.818
"Cactus","Sucrose",29,0.882
"Cactus","Raffinose",39,0.805
"Cactus","Melibiose",45,0.842
"Cactus","Galactose",20,0.539
"Cactus","Lactose",45,0.844
"Cactus","Trehalose",29,0.954
"Cactus","Maltose",31,0.906
"Cactus","Melezitose",32,0.801
"Cactus","Methyl-?-D-glucoside",33,0.861
"Cactus","Soluble Starch",41,0.865
"Cactus","Cellobiose",24,0.739
"Cactus","Salicin",22,0.642
"Cactus","L-Sorbose",23,0.38
"Cactus","L-Rhamnose",39,0.595
"Cactus","D-Xylose",19,0.668
"Cactus","L-Arabinose",37,0.793
"Cactus","D-Arabinose",34,0.535
"Cactus","D-Ribose",33,0.726
"Cactus","Methanol",45,0.82
"Cactus","Ethanol",2,0.191
"Cactus","Glycerol",4,0.47
"Cactus","Erythritol",43,0.93
"Cactus","Ribitol",25,0.716
"Cactus","Galactitol",44,0.882
"Cactus","D-Mannitol",18,0.878
"Cactus","D-Glucitol",21,0.883
"Cactus","myo-Inositol",45,0.796
"Cactus","DL-Lactate",15,0.035
"Cactus","Succinate",4,0.297
"Cactus","Citrate",17,0.336
"Cactus","D-Gluconate",26,0.617
"Cactus","D-Glucosamine",29,0.398
"Cactus","Nitrate",44,0.898
"Cactus","Vitamin-free",45,0.975
"Cactus","2-Keto-D-gluconate",26,0.335
"Cactus","Starch formation",43,0.725
"Cactus","Growth at 19°C",0,0.881
"Cactus","Growth at 25°C",0,0.834
"Cactus","Growth at 30°C",0,0.099
"Cactus","Growth at 37°C",7,0.001
"Ipomoea","Glucose_F",5,0.298
"Ipomoea","Galactose_F",29,0.895
"Ipomoea","Sucrose_F",27,0.635
"Ipomoea","Maltose_F",28,0.566
"Ipomoea","Lactose_F",30,0.274
"Ipomoea","Raffinose_F",30,0.607
"Ipomoea","Trehalose_F",21,0.423
"Ipomoea","Glucose",0,1
"Ipomoea","Inulin",31,0.778
"Ipomoea","Sucrose",8,0.358
"Ipomoea","Raffinose",29,0.868
"Ipomoea","Melibiose",33,0.903
"Ipomoea","Galactose",1,0.052
"Ipomoea","Lactose",34,1
"Ipomoea","Trehalose",9,0.665
"Ipomoea","Maltose",9,0.367
"Ipomoea","Melezitose",11,0.281
"Ipomoea","Methyl-?-D-glucoside",18,0.62
"Ipomoea","Soluble Starch",34,1
"Ipomoea","Cellobiose",10,0.588
"Ipomoea","Salicin",10,0.546
"Ipomoea","L-Sorbose",0,0.004
"Ipomoea","L-Rhamnose",33,0.985
"Ipomoea","D-Xylose",8,0.597
"Ipomoea","L-Arabinose",33,0.99
"Ipomoea","D-Arabinose",30,0.901
"Ipomoea","D-Ribose",25,0.848
"Ipomoea","Methanol",34,1
"Ipomoea","Ethanol",6,0.765
"Ipomoea","Glycerol",3,0.719
"Ipomoea","Erythritol",34,1
"Ipomoea","Ribitol",9,0.401
"Ipomoea","Galactitol",33,0.884
"Ipomoea","D-Mannitol",0,0.344
"Ipomoea","D-Glucitol",0,0.252
"Ipomoea","myo-Inositol",34,1
"Ipomoea","DL-Lactate",28,0.984
"Ipomoea","Succinate",2,0.506
"Ipomoea","Citrate",9,0.413
"Ipomoea","D-Gluconate",12,0.429
"Ipomoea","D-Glucosamine",18,0.417
"Ipomoea","Nitrate",31,0.783
"Ipomoea","Vitamin-free",34,1
"Ipomoea","2-Keto-D-gluconate",8,0.075
"Ipomoea","Starch formation",34,1
"Ipomoea","Growth at 19°C",0,0.949
"Ipomoea","Growth at 25°C",0,0.891
"Ipomoea","Growth at 30°C",1,0.479
"Ipomoea","Growth at 37°C",21,0.681
"Oak","Glucose_F",16,0.638
"Oak","Galactose_F",44,0.682
"Oak","Sucrose_F",46,0.51
"Oak","Maltose_F",51,0.749
"Oak","Lactose_F",62,0.921
"Oak","Raffinose_F",50,0.38
"Oak","Trehalose_F",48,0.818
"Oak","Glucose",0,1
"Oak","Inulin",57,0.858
"Oak","Sucrose",26,0.661
"Oak","Raffinose",42,0.445
"Oak","Melibiose",55,0.684
"Oak","Galactose",30,0.893
"Oak","Lactose",54,0.582
"Oak","Trehalose",18,0.599
"Oak","Maltose",31,0.756
"Oak","Melezitose",33,0.569
"Oak","Methyl-?-D-glucoside",35,0.673
"Oak","Soluble Starch",48,0.64
"Oak","Cellobiose",24,0.67
"Oak","Salicin",23,0.55
"Oak","L-Sorbose",26,0.398
"Oak","L-Rhamnose",48,0.527
"Oak","D-Xylose",20,0.643
"Oak","L-Arabinose",42,0.706
"Oak","D-Arabinose",40,0.374
"Oak","D-Ribose",40,0.729
"Oak","Methanol",55,0.397
"Oak","Ethanol",6,0.409
"Oak","Glycerol",4,0.447
"Oak","Erythritol",49,0.8
"Oak","Ribitol",24,0.574
"Oak","Galactitol",60,0.941
"Oak","D-Mannitol",11,0.616
"Oak","D-Glucitol",9,0.488
"Oak","myo-Inositol",55,0.447
"Oak","DL-Lactate",13,0.008
"Oak","Succinate",6,0.372
"Oak","Citrate",27,0.738
"Oak","D-Gluconate",32,0.791
"Oak","D-Glucosamine",40,0.669
"Oak","Nitrate",49,0.522
"Oak","Vitamin-free",48,0.427
"Oak","2-Keto-D-gluconate",41,0.841
"Oak","Starch formation",55,0.676
"Oak","Growth at 19°C",0,0.865
"Oak","Growth at 25°C",0,0.801
"Oak","Growth at 30°C",7,0.627
"Oak","Growth at 37°C",36,0.56
"Hibiscus","Glucose_F",3,0.569
"Hibiscus","Galactose_F",13,0.913
"Hibiscus","Sucrose_F",11,0.617
"Hibiscus","Maltose_F",12,0.642
"Hibiscus","Lactose_F",12,0.502
"Hibiscus","Raffinose_F",12,0.621
"Hibiscus","Trehalose_F",11,0.675
"Hibiscus","Glucose",0,1
"Hibiscus","Inulin",13,0.717
"Hibiscus","Sucrose",3,0.488
"Hibiscus","Raffinose",10,0.59
"Hibiscus","Melibiose",13,0.724
"Hibiscus","Galactose",1,0.334
"Hibiscus","Lactose",15,1
"Hibiscus","Trehalose",4,0.735
"Hibiscus","Maltose",3,0.431
"Hibiscus","Melezitose",6,0.534
"Hibiscus","Methyl-?-D-glucoside",6,0.56
"Hibiscus","Soluble Starch",14,0.818
"Hibiscus","Cellobiose",7,0.878
"Hibiscus","Salicin",7,0.831
"Hibiscus","L-Sorbose",1,0.178
"Hibiscus","L-Rhamnose",15,1
"Hibiscus","D-Xylose",3,0.662
"Hibiscus","L-Arabinose",13,0.922
"Hibiscus","D-Arabinose",14,0.934
"Hibiscus","D-Ribose",8,0.61
"Hibiscus","Methanol",15,1
"Hibiscus","Ethanol",3,0.832
"Hibiscus","Glycerol",0,0.704
"Hibiscus","Erythritol",15,1
"Hibiscus","Ribitol",4,0.595
"Hibiscus","Galactitol",13,0.694
"Hibiscus","D-Mannitol",2,0.737
"Hibiscus","D-Glucitol",1,0.664
"Hibiscus","myo-Inositol",15,1
"Hibiscus","DL-Lactate",11,0.896
"Hibiscus","Succinate",3,0.84
"Hibiscus","Citrate",6,0.732
"Hibiscus","D-Gluconate",6,0.643
"Hibiscus","D-Glucosamine",9,0.682
"Hibiscus","Nitrate",13,0.698
"Hibiscus","Vitamin-free",12,0.705
"Hibiscus","2-Keto-D-gluconate",2,0.139
"Hibiscus","Starch formation",15,1
"Hibiscus","Growth at 19°C",0,0.967
"Hibiscus","Growth at 25°C",0,0.95
"Hibiscus","Growth at 30°C",0,0.609
"Hibiscus","Growth at 37°C",9,0.697
"Beetle","Glucose_F",25,0.299
"Beetle","Galactose_F",84,0.47
"Beetle","Sucrose_F",110,0.874
"Beetle","Maltose_F",109,0.539
"Beetle","Lactose_F",141,0.724
"Beetle","Raffinose_F",132,0.973
"Beetle","Trehalose_F",61,0.024
"Beetle","Glucose",0,1
"Beetle","Inulin",140,0.992
"Beetle","Sucrose",35,0.315
"Beetle","Raffinose",123,0.998
"Beetle","Melibiose",133,0.883
"Beetle","Galactose",27,0.221
"Beetle","Lactose",132,0.821
"Beetle","Trehalose",23,0.25
"Beetle","Maltose",34,0.146
"Beetle","Melezitose",49,0.125
"Beetle","Methyl-?-D-glucoside",52,0.198
"Beetle","Soluble Starch",118,0.94
"Beetle","Cellobiose",32,0.256
"Beetle","Salicin",30,0.176
"Beetle","L-Sorbose",66,0.864
"Beetle","L-Rhamnose",109,0.588
"Beetle","D-Xylose",21,0.149
"Beetle","L-Arabinose",98,0.879
"Beetle","D-Arabinose",94,0.543
"Beetle","D-Ribose",64,0.224
"Beetle","Methanol",140,0.925
"Beetle","Ethanol",14,0.489
"Beetle","Glycerol",6,0.312
"Beetle","Erythritol",96,0.452
"Beetle","Ribitol",22,0.031
"Beetle","Galactitol",136,0.822
"Beetle","D-Mannitol",3,0.051
"Beetle","D-Glucitol",1,0.007
"Beetle","myo-Inositol",140,0.825
"Beetle","DL-Lactate",96,0.997
"Beetle","Succinate",6,0.138
"Beetle","Citrate",30,0.161
"Beetle","D-Gluconate",44,0.307
"Beetle","D-Glucosamine",63,0.116
"Beetle","Nitrate",136,0.992
"Beetle","Vitamin-free",127,0.981
"Beetle","2-Keto-D-gluconate",46,0.051
"Beetle","Starch formation",139,0.989
"Beetle","Growth at 19°C",0,0.775
"Beetle","Growth at 25°C",0,0.682
"Beetle","Growth at 30°C",9,0.483
"Beetle","Growth at 37°C",102,0.995
"Ant","Glucose_F",1,0.922
"Ant","Galactose_F",3,0.962
"Ant","Sucrose_F",2,0.908
"Ant","Maltose_F",2,0.767
"Ant","Lactose_F",4,1
"Ant","Raffinose_F",3,0.943
"Ant","Trehalose_F",4,1
"Ant","Glucose",0,1
"Ant","Inulin",2,0.874
"Ant","Sucrose",2,0.959
"Ant","Raffinose",2,0.911
"Ant","Melibiose",2,0.874
"Ant","Galactose",0,0.756
"Ant","Lactose",3,0.955
"Ant","Trehalose",2,0.979
"Ant","Maltose",1,0.877
"Ant","Melezitose",2,0.957
"Ant","Methyl-?-D-glucoside",1,0.841
"Ant","Soluble Starch",1,0.727
"Ant","Cellobiose",1,0.901
"Ant","Salicin",1,0.895
"Ant","L-Sorbose",1,0.823
"Ant","L-Rhamnose",2,0.764
"Ant","D-Xylose",1,0.922
"Ant","L-Arabinose",1,0.76
"Ant","D-Arabinose",2,0.831
"Ant","D-Ribose",1,0.805
"Ant","Methanol",4,1
"Ant","Ethanol",1,0.958
"Ant","Glycerol",0,0.931
"Ant","Erythritol",1,0.691
"Ant","Ribitol",1,0.891
"Ant","Galactitol",1,0.639
"Ant","D-Mannitol",0,0.893
"Ant","D-Glucitol",0,0.869
"Ant","myo-Inositol",3,0.745
"Ant","DL-Lactate",2,0.889
"Ant","Succinate",1,0.94
"Ant","Citrate",1,0.852
"Ant","D-Gluconate",0,0.673
"Ant","D-Glucosamine",2,0.946
"Ant","Nitrate",4,1
"Ant","Vitamin-free",2,0.882
"Ant","2-Keto-D-gluconate",2,0.941
"Ant","Starch formation",4,1
"Ant","Growth at 19°C",0,0.992
"Ant","Growth at 25°C",0,0.99
"Ant","Growth at 30°C",0,0.904
"Ant","Growth at 37°C",1,0.773
"Fruit.fly","Glucose_F",12,0.298
"Fruit.fly","Galactose_F",35,0.377
"Fruit.fly","Sucrose_F",34,0.187
"Fruit.fly","Maltose_F",41,0.421
"Fruit.fly","Lactose_F",50,0.427
"Fruit.fly","Raffinose_F",37,0.104
"Fruit.fly","Trehalose_F",34,0.378
"Fruit.fly","Glucose",0,1
"Fruit.fly","Inulin",45,0.505
"Fruit.fly","Sucrose",18,0.312
"Fruit.fly","Raffinose",36,0.351
"Fruit.fly","Melibiose",48,0.595
"Fruit.fly","Galactose",17,0.368
"Fruit.fly","Lactose",50,0.731
"Fruit.fly","Trehalose",21,0.756
"Fruit.fly","Maltose",22,0.424
"Fruit.fly","Melezitose",25,0.29
"Fruit.fly","Methyl-?-D-glucoside",29,0.528
"Fruit.fly","Soluble Starch",50,0.949
"Fruit.fly","Cellobiose",21,0.659
"Fruit.fly","Salicin",22,0.68
"Fruit.fly","L-Sorbose",17,0.121
"Fruit.fly","L-Rhamnose",49,0.864
"Fruit.fly","D-Xylose",20,0.752
"Fruit.fly","L-Arabinose",44,0.912
"Fruit.fly","D-Arabinose",47,0.872
"Fruit.fly","D-Ribose",46,0.974
"Fruit.fly","Methanol",53,0.925
"Fruit.fly","Ethanol",7,0.398
"Fruit.fly","Glycerol",9,0.671
"Fruit.fly","Erythritol",54,1
"Fruit.fly","Ribitol",23,0.623
"Fruit.fly","Galactitol",51,0.863
"Fruit.fly","D-Mannitol",8,0.532
"Fruit.fly","D-Glucitol",10,0.555
"Fruit.fly","myo-Inositol",51,0.787
"Fruit.fly","DL-Lactate",27,0.382
"Fruit.fly","Succinate",13,0.83
"Fruit.fly","Citrate",33,0.956
"Fruit.fly","D-Gluconate",25,0.562
"Fruit.fly","D-Glucosamine",39,0.792
"Fruit.fly","Nitrate",51,0.915
"Fruit.fly","Vitamin-free",50,0.914
"Fruit.fly","2-Keto-D-gluconate",27,0.32
"Fruit.fly","Starch formation",52,0.941
"Fruit.fly","Growth at 19°C",0,0.881
"Fruit.fly","Growth at 25°C",0,0.824
"Fruit.fly","Growth at 30°C",2,0.282
"Fruit.fly","Growth at 37°C",25,0.181
"Bee","Glucose_F",3,0.231
"Bee","Galactose_F",20,0.667
"Bee","Sucrose_F",15,0.151
"Bee","Maltose_F",16,0.127
"Bee","Lactose_F",21,0.053
"Bee","Raffinose_F",17,0.103
"Bee","Trehalose_F",19,0.5
"Bee","Glucose",0,1
"Bee","Inulin",26,0.887
"Bee","Sucrose",12,0.683
"Bee","Raffinose",16,0.307
"Bee","Melibiose",25,0.809
"Bee","Galactose",4,0.215
"Bee","Lactose",26,0.96
"Bee","Trehalose",18,0.973
"Bee","Maltose",14,0.749
"Bee","Melezitose",18,0.798
"Bee","Methyl-?-D-glucoside",17,0.707
"Bee","Soluble Starch",23,0.85
"Bee","Cellobiose",16,0.905
"Bee","Salicin",14,0.821
"Bee","L-Sorbose",6,0.113
"Bee","L-Rhamnose",25,0.946
"Bee","D-Xylose",19,0.986
"Bee","L-Arabinose",24,0.962
"Bee","D-Arabinose",25,0.977
"Bee","D-Ribose",14,0.407
"Bee","Methanol",27,1
"Bee","Ethanol",10,0.922
"Bee","Glycerol",2,0.601
"Bee","Erythritol",23,0.871
"Bee","Ribitol",16,0.883
"Bee","Galactitol",26,0.949
"Bee","D-Mannitol",1,0.427
"Bee","D-Glucitol",2,0.475
"Bee","myo-Inositol",26,0.947
"Bee","DL-Lactate",23,0.978
"Bee","Succinate",7,0.805
"Bee","Citrate",10,0.564
"Bee","D-Gluconate",8,0.287
"Bee","D-Glucosamine",21,0.874
"Bee","Nitrate",19,0.249
"Bee","Vitamin-free",24,0.871
"Bee","2-Keto-D-gluconate",12,0.328
"Bee","Starch formation",26,0.859
"Bee","Growth at 19°C",0,0.938
"Bee","Growth at 25°C",0,0.897
"Bee","Growth at 30°C",1,0.448
"Bee","Growth at 37°C",12,0.284
"Water","Glucose_F",0,0.766
"Water","Galactose_F",2,0.698
"Water","Sucrose_F",2,0.786
"Water","Maltose_F",2,0.732
"Water","Lactose_F",4,1
"Water","Raffinose_F",4,1
"Water","Trehalose_F",2,0.825
"Water","Glucose",0,1
"Water","Inulin",4,1
"Water","Sucrose",2,0.937
"Water","Raffinose",4,1
"Water","Melibiose",4,1
"Water","Galactose",2,0.921
"Water","Lactose",3,0.837
"Water","Trehalose",1,0.9
"Water","Maltose",1,0.85
"Water","Melezitose",1,0.78
"Water","Methyl-?-D-glucoside",1,0.762
"Water","Soluble Starch",2,0.815
"Water","Cellobiose",1,0.882
"Water","Salicin",1,0.851
"Water","L-Sorbose",2,0.861
"Water","L-Rhamnose",3,0.861
"Water","D-Xylose",1,0.912
"Water","L-Arabinose",3,0.91
"Water","D-Arabinose",3,0.9
"Water","D-Ribose",2,0.863
"Water","Methanol",3,0.8
"Water","Ethanol",0,0.884
"Water","Glycerol",0,0.916
"Water","Erythritol",3,0.873
"Water","Ribitol",2,0.939
"Water","Galactitol",4,1
"Water","D-Mannitol",0,0.908
"Water","D-Glucitol",0,0.866
"Water","myo-Inositol",4,1
"Water","DL-Lactate",1,0.69
"Water","Succinate",0,0.878
"Water","Citrate",2,0.917
"Water","D-Gluconate",1,0.826
"Water","D-Glucosamine",2,0.849
"Water","Nitrate",2,0.666
"Water","Vitamin-free",2,0.743
"Water","2-Keto-D-gluconate",1,0.744
"Water","Starch formation",4,1
"Water","Growth at 19°C",0,0.997
"Water","Growth at 25°C",0,0.986
"Water","Growth at 30°C",0,0.889
"Water","Growth at 37°C",2,0.859
"Tree.exudate","Glucose_F",8,0.215
"Tree.exudate","Galactose_F",35,0.621
"Tree.exudate","Sucrose_F",32,0.234
"Tree.exudate","Maltose_F",41,0.62
"Tree.exudate","Lactose_F",50,0.89
"Tree.exudate","Raffinose_F",41,0.391
"Tree.exudate","Trehalose_F",38,0.779
"Tree.exudate","Glucose",0,1
"Tree.exudate","Inulin",45,0.793
"Tree.exudate","Sucrose",19,0.568
"Tree.exudate","Raffinose",37,0.617
"Tree.exudate","Melibiose",46,0.813
"Tree.exudate","Galactose",27,0.927
"Tree.exudate","Lactose",48,0.843
"Tree.exudate","Trehalose",17,0.708
"Tree.exudate","Maltose",25,0.726
"Tree.exudate","Melezitose",27,0.59
"Tree.exudate","Methyl-?-D-glucoside",25,0.499
"Tree.exudate","Soluble Starch",44,0.906
"Tree.exudate","Cellobiose",19,0.616
"Tree.exudate","Salicin",19,0.557
"Tree.exudate","L-Sorbose",22,0.485
"Tree.exudate","L-Rhamnose",35,0.31
"Tree.exudate","D-Xylose",16,0.599
"Tree.exudate","L-Arabinose",36,0.773
"Tree.exudate","D-Arabinose",37,0.675
"Tree.exudate","D-Ribose",30,0.617
"Tree.exudate","Methanol",41,0.203
"Tree.exudate","Ethanol",3,0.255
"Tree.exudate","Glycerol",7,0.73
"Tree.exudate","Erythritol",36,0.566
"Tree.exudate","Ribitol",21,0.6
"Tree.exudate","Galactitol",47,0.871
"Tree.exudate","D-Mannitol",8,0.561
"Tree.exudate","D-Glucitol",7,0.429
"Tree.exudate","myo-Inositol",50,0.892
"Tree.exudate","DL-Lactate",17,0.106
"Tree.exudate","Succinate",7,0.516
"Tree.exudate","Citrate",24,0.817
"Tree.exudate","D-Gluconate",28,0.842
"Tree.exudate","D-Glucosamine",32,0.659
"Tree.exudate","Nitrate",44,0.772
"Tree.exudate","Vitamin-free",45,0.833
"Tree.exudate","2-Keto-D-gluconate",31,0.697
"Tree.exudate","Starch formation",49,0.942
"Tree.exudate","Growth at 19°C",0,0.89
"Tree.exudate","Growth at 25°C",0,0.835
"Tree.exudate","Growth at 30°C",3,0.358
"Tree.exudate","Growth at 37°C",24,0.279
"Tree.flux","Glucose_F",12,0.36
"Tree.flux","Galactose_F",37,0.644
"Tree.flux","Sucrose_F",39,0.566
"Tree.flux","Maltose_F",45,0.727
"Tree.flux","Lactose_F",52,0.782
"Tree.flux","Raffinose_F",43,0.554
"Tree.flux","Trehalose_F",41,0.82
"Tree.flux","Glucose",0,1
"Tree.flux","Inulin",44,0.573
"Tree.flux","Sucrose",21,0.572
"Tree.flux","Raffinose",40,0.747
"Tree.flux","Melibiose",46,0.683
"Tree.flux","Galactose",25,0.84
"Tree.flux","Lactose",49,0.805
"Tree.flux","Trehalose",20,0.778
"Tree.flux","Maltose",23,0.538
"Tree.flux","Melezitose",27,0.456
"Tree.flux","Methyl-?-D-glucoside",29,0.619
"Tree.flux","Soluble Starch",45,0.86
"Tree.flux","Cellobiose",24,0.801
"Tree.flux","Salicin",24,0.747
"Tree.flux","L-Sorbose",18,0.223
"Tree.flux","L-Rhamnose",35,0.208
"Tree.flux","D-Xylose",16,0.585
"Tree.flux","L-Arabinose",41,0.891
"Tree.flux","D-Arabinose",38,0.62
"Tree.flux","D-Ribose",31,0.589
"Tree.flux","Methanol",46,0.434
"Tree.flux","Ethanol",2,0.188
"Tree.flux","Glycerol",4,0.577
"Tree.flux","Erythritol",45,0.881
"Tree.flux","Ribitol",23,0.651
"Tree.flux","Galactitol",48,0.775
"Tree.flux","D-Mannitol",10,0.609
"Tree.flux","D-Glucitol",8,0.448
"Tree.flux","myo-Inositol",50,0.764
"Tree.flux","DL-Lactate",16,0.062
"Tree.flux","Succinate",3,0.243
"Tree.flux","Citrate",25,0.795
"Tree.flux","D-Gluconate",28,0.757
"Tree.flux","D-Glucosamine",37,0.761
"Tree.flux","Nitrate",46,0.721
"Tree.flux","Vitamin-free",43,0.57
"Tree.flux","2-Keto-D-gluconate",28,0.471
"Tree.flux","Starch formation",49,0.825
"Tree.flux","Growth at 19°C",0,0.874
"Tree.flux","Growth at 25°C",0,0.824
"Tree.flux","Growth at 30°C",4,0.327
"Tree.flux","Growth at 37°C",34,0.734
"Honey","Glucose_F",0,0.558
"Honey","Galactose_F",4,0.956
"Honey","Sucrose_F",3,0.583
"Honey","Maltose_F",2,0.301
"Honey","Lactose_F",5,1
"Honey","Raffinose_F",3,0.512
"Honey","Trehalose_F",5,1
"Honey","Glucose",0,1
"Honey","Inulin",5,1
"Honey","Sucrose",1,0.616
"Honey","Raffinose",2,0.537
"Honey","Melibiose",4,0.927
"Honey","Galactose",2,0.781
"Honey","Lactose",4,0.928
"Honey","Trehalose",3,0.926
"Honey","Maltose",1,0.627
"Honey","Melezitose",3,0.833
"Honey","Methyl-?-D-glucoside",3,0.831
"Honey","Soluble Starch",4,0.946
"Honey","Cellobiose",4,0.983
"Honey","Salicin",4,0.988
"Honey","L-Sorbose",2,0.709
"Honey","L-Rhamnose",4,0.929
"Honey","D-Xylose",4,0.986
"Honey","L-Arabinose",4,0.953
"Honey","D-Arabinose",4,0.962
"Honey","D-Ribose",3,0.816
"Honey","Methanol",5,1
"Honey","Ethanol",3,0.976
"Honey","Glycerol",0,0.859
"Honey","Erythritol",4,0.952
"Honey","Ribitol",4,0.983
"Honey","Galactitol",4,0.912
"Honey","D-Mannitol",1,0.881
"Honey","D-Glucitol",1,0.869
"Honey","myo-Inositol",4,0.919
"Honey","DL-Lactate",4,0.971
"Honey","Succinate",3,0.974
"Honey","Citrate",3,0.9
"Honey","D-Gluconate",2,0.745
"Honey","D-Glucosamine",4,0.957
"Honey","Nitrate",4,0.733
"Honey","Vitamin-free",4,0.754
"Honey","2-Keto-D-gluconate",1,0.447
"Honey","Starch formation",4,0.658
"Honey","Growth at 19°C",0,0.986
"Honey","Growth at 25°C",0,0.985
"Honey","Growth at 30°C",0,0.801
"Honey","Growth at 37°C",3,0.674
"Nematode","Glucose_F",5,1
"Nematode","Galactose_F",5,1
"Nematode","Sucrose_F",5,1
"Nematode","Maltose_F",5,1
"Nematode","Lactose_F",5,1
"Nematode","Raffinose_F",5,1
"Nematode","Trehalose_F",5,1
"Nematode","Glucose",0,1
"Nematode","Inulin",5,1
"Nematode","Sucrose",4,0.89
"Nematode","Raffinose",5,1
"Nematode","Melibiose",5,1
"Nematode","Galactose",5,1
"Nematode","Lactose",5,1
"Nematode","Trehalose",1,0.648
"Nematode","Maltose",5,1
"Nematode","Melezitose",5,1
"Nematode","Methyl-?-D-glucoside",5,1
"Nematode","Soluble Starch",4,0.656
"Nematode","Cellobiose",5,1
"Nematode","Salicin",5,1
"Nematode","L-Sorbose",0,0.28
"Nematode","L-Rhamnose",5,1
"Nematode","D-Xylose",4,0.927
"Nematode","L-Arabinose",5,1
"Nematode","D-Arabinose",5,1
"Nematode","D-Ribose",5,1
"Nematode","Methanol",5,1
"Nematode","Ethanol",0,0.691
"Nematode","Glycerol",0,0.796
"Nematode","Erythritol",5,1
"Nematode","Ribitol",5,1
"Nematode","Galactitol",5,1
"Nematode","D-Mannitol",1,0.808
"Nematode","D-Glucitol",1,0.783
