"Isolation","Trait","Observed_NP","Percent_NP"
"Bromeliad","Glucose_F",605,0.889
"Bromeliad","Galactose_F",259,1
"Bromeliad","Sucrose_F",209,1
"Bromeliad","Maltose_F",163,0.621
"Bromeliad","Lactose_F",28,0.734
"Bromeliad","Raffinose_F",131,0.828
"Bromeliad","Trehalose_F",261,1
"Bromeliad","Glucose",829,1
"Bromeliad","Inulin",108,1
"Bromeliad","Sucrose",501,0.86
"Bromeliad","Raffinose",237,1
"Bromeliad","Melibiose",103,1
"Bromeliad","Galactose",540,0.952
"Bromeliad","Lactose",100,1
"Bromeliad","Trehalose",576,0.914
"Bromeliad","Maltose",466,0.822
"Bromeliad","Melezitose",381,0.782
"Bromeliad","Methyl-?-D-glucoside",386,0.779
"Bromeliad","Soluble Starch",196,1
"Bromeliad","Cellobiose",522,0.866
"Bromeliad","Salicin",515,0.857
"Bromeliad","L-Sorbose",435,0.808
"Bromeliad","L-Rhamnose",180,0.823
"Bromeliad","D-Xylose",576,0.907
"Bromeliad","L-Arabinose",288,1
"Bromeliad","D-Arabinose",247,1
"Bromeliad","D-Ribose",337,0.873
"Bromeliad","Methanol",67,1
"Bromeliad","Ethanol",698,0.938
"Bromeliad","Glycerol",735,0.969
"Bromeliad","Erythritol",218,0.696
"Bromeliad","Ribitol",499,0.853
"Bromeliad","Galactitol",100,1
"Bromeliad","D-Mannitol",670,0.951
"Bromeliad","D-Glucitol",657,0.941
"Bromeliad","myo-Inositol",75,1
"Bromeliad","DL-Lactate",381,1
"Bromeliad","Succinate",692,1
"Bromeliad","Citrate",512,0.942
"Bromeliad","D-Gluconate",457,0.813
"Bromeliad","D-Glucosamine",313,0.883
"Bromeliad","Nitrate",144,1
"Bromeliad","Vitamin-free",159,0.633
"Bromeliad","2-Keto-D-gluconate",366,0.9
"Bromeliad","Starch formation",106,0.776
"Bromeliad","Growth at 19°C",818,0.996
"Bromeliad","Growth at 25°C",820,0.992
"Bromeliad","Growth at 30°C",730,0.96
"Bromeliad","Growth at 37°C",345,1
"Flower","Glucose_F",533,0.028
"Flower","Galactose_F",241,0.872
"Flower","Sucrose_F",187,0.474
"Flower","Maltose_F",143,0.234
"Flower","Lactose_F",17,0.042
"Flower","Raffinose_F",115,0.296
"Flower","Trehalose_F",235,0.568
"Flower","Glucose",750,1
"Flower","Inulin",102,0.91
"Flower","Sucrose",438,0.098
"Flower","Raffinose",219,0.806
"Flower","Melibiose",99,0.869
"Flower","Galactose",469,0.016
"Flower","Lactose",96,0.895
"Flower","Trehalose",526,0.845
"Flower","Maltose",406,0.099
"Flower","Melezitose",329,0.09
"Flower","Methyl-?-D-glucoside",349,0.556
"Flower","Soluble Starch",189,0.975
"Flower","Cellobiose",468,0.54
"Flower","Salicin",460,0.429
"Flower","L-Sorbose",364,0
"Flower","L-Rhamnose",178,0.997
"Flower","D-Xylose",520,0.652
"Flower","L-Arabinose",278,0.985
"Flower","D-Arabinose",232,0.892
"Flower","D-Ribose",305,0.645
"Flower","Methanol",66,0.973
"Flower","Ethanol",635,0.748
"Flower","Glycerol",668,0.841
"Flower","Erythritol",217,0.996
"Flower","Ribitol",447,0.447
"Flower","Galactitol",95,0.875
"Flower","D-Mannitol",601,0.456
"Flower","D-Glucitol",586,0.236
"Flower","myo-Inositol",75,1
"Flower","DL-Lactate",359,0.989
"Flower","Succinate",626,0.719
"Flower","Citrate",460,0.518
"Flower","D-Gluconate",404,0.215
"Flower","D-Glucosamine",278,0.407
"Flower","Nitrate",135,0.798
"Flower","Vitamin-free",151,0.916
"Flower","2-Keto-D-gluconate",310,0.023
"Flower","Starch formation",104,0.981
"Flower","Growth at 19°C",740,0.946
"Flower","Growth at 25°C",742,0.895
"Flower","Growth at 30°C",657,0.494
"Flower","Growth at 37°C",315,0.788
"Cactus","Glucose_F",578,0.595
"Cactus","Galactose_F",248,0.759
"Cactus","Sucrose_F",198,0.613
"Cactus","Maltose_F",156,0.633
"Cactus","Lactose_F",28,0.824
"Cactus","Raffinose_F",126,0.622
"Cactus","Trehalose_F",249,0.621
"Cactus","Glucose",784,1
"Cactus","Inulin",105,0.818
"Cactus","Sucrose",485,0.882
"Cactus","Raffinose",229,0.805
"Cactus","Melibiose",101,0.842
"Cactus","Galactose",514,0.539
"Cactus","Lactose",98,0.844
"Cactus","Trehalose",560,0.954
"Cactus","Maltose",452,0.906
"Cactus","Melezitose",368,0.801
"Cactus","Methyl-?-D-glucoside",374,0.861
"Cactus","Soluble Starch",190,0.865
"Cactus","Cellobiose",501,0.739
"Cactus","Salicin",492,0.642
"Cactus","L-Sorbose",413,0.38
"Cactus","L-Rhamnose",173,0.595
"Cactus","D-Xylose",550,0.668
"Cactus","L-Arabinose",278,0.793
"Cactus","D-Arabinose",234,0.535
"Cactus","D-Ribose",324,0.726
"Cactus","Methanol",65,0.82
"Cactus","Ethanol",655,0.191
"Cactus","Glycerol",694,0.47
"Cactus","Erythritol",216,0.93
"Cactus","Ribitol",479,0.716
"Cactus","Galactitol",97,0.882
"Cactus","D-Mannitol",643,0.878
"Cactus","D-Glucitol",633,0.883
"Cactus","myo-Inositol",73,0.796
"Cactus","DL-Lactate",349,0.035
"Cactus","Succinate",649,0.297
"Cactus","Citrate",483,0.336
"Cactus","D-Gluconate",438,0.617
"Cactus","D-Glucosamine",296,0.398
"Cactus","Nitrate",141,0.898
"Cactus","Vitamin-free",159,0.975
"Cactus","2-Keto-D-gluconate",346,0.335
"Cactus","Starch formation",103,0.725
"Cactus","Growth at 19°C",773,0.881
"Cactus","Growth at 25°C",775,0.834
"Cactus","Growth at 30°C",685,0.099
"Cactus","Growth at 37°C",305,0.001
"Ipomoea","Glucose_F",578,0.298
"Ipomoea","Galactose_F",254,0.895
"Ipomoea","Sucrose_F",202,0.635
"Ipomoea","Maltose_F",159,0.566
"Ipomoea","Lactose_F",25,0.274
"Ipomoea","Raffinose_F",128,0.607
"Ipomoea","Trehalose_F",248,0.423
"Ipomoea","Glucose",797,1
"Ipomoea","Inulin",105,0.778
"Ipomoea","Sucrose",477,0.358
"Ipomoea","Raffinose",232,0.868
"Ipomoea","Melibiose",102,0.903
"Ipomoea","Galactose",508,0.052
"Ipomoea","Lactose",100,1
"Ipomoea","Trehalose",553,0.665
"Ipomoea","Maltose",443,0.367
"Ipomoea","Melezitose",360,0.281
"Ipomoea","Methyl-?-D-glucoside",372,0.62
"Ipomoea","Soluble Starch",196,1
"Ipomoea","Cellobiose",500,0.588
"Ipomoea","Salicin",493,0.546
"Ipomoea","L-Sorbose",403,0.004
"Ipomoea","L-Rhamnose",180,0.985
"Ipomoea","D-Xylose",552,0.597
"Ipomoea","L-Arabinose",287,0.99
"Ipomoea","D-Arabinose",243,0.901
"Ipomoea","D-Ribose",329,0.848
"Ipomoea","Methanol",67,1
"Ipomoea","Ethanol",672,0.765
"Ipomoea","Glycerol",706,0.719
"Ipomoea","Erythritol",220,1
"Ipomoea","Ribitol",476,0.401
"Ipomoea","Galactitol",99,0.884
"Ipomoea","D-Mannitol",638,0.344
"Ipomoea","D-Glucitol",625,0.252
"Ipomoea","myo-Inositol",75,1
"Ipomoea","DL-Lactate",375,0.984
"Ipomoea","Succinate",660,0.506
"Ipomoea","Citrate",488,0.413
"Ipomoea","D-Gluconate",437,0.429
"Ipomoea","D-Glucosamine",298,0.417
"Ipomoea","Nitrate",141,0.783
"Ipomoea","Vitamin-free",161,1
"Ipomoea","2-Keto-D-gluconate",341,0.075
"Ipomoea","Starch formation",107,1
"Ipomoea","Growth at 19°C",786,0.949
"Ipomoea","Growth at 25°C",788,0.891
"Ipomoea","Growth at 30°C",699,0.479
"Ipomoea","Growth at 37°C",332,0.681
"Oak","Glucose_F",560,0.638
"Oak","Galactose_F",240,0.682
"Oak","Sucrose_F",192,0.51
"Oak","Maltose_F",153,0.749
"Oak","Lactose_F",28,0.921
"Oak","Raffinose_F",119,0.38
"Oak","Trehalose_F",246,0.818
"Oak","Glucose",768,1
"Oak","Inulin",102,0.858
"Oak","Sucrose",466,0.661
"Oak","Raffinose",216,0.445
"Oak","Melibiose",95,0.684
"Oak","Galactose",508,0.893
"Oak","Lactose",91,0.582
"Oak","Trehalose",533,0.599
"Oak","Maltose",436,0.756
"Oak","Melezitose",353,0.569
"Oak","Methyl-?-D-glucoside",360,0.673
"Oak","Soluble Starch",181,0.64
"Oak","Cellobiose",485,0.67
"Oak","Salicin",477,0.55
"Oak","L-Sorbose",400,0.398
"Oak","L-Rhamnose",166,0.527
"Oak","D-Xylose",535,0.643
"Oak","L-Arabinose",267,0.706
"Oak","D-Arabinose",224,0.374
"Oak","D-Ribose",315,0.729
"Oak","Methanol",59,0.397
"Oak","Ethanol",643,0.409
"Oak","Glycerol",678,0.447
"Oak","Erythritol",206,0.8
"Oak","Ribitol",462,0.574
"Oak","Galactitol",97,0.941
"Oak","D-Mannitol",620,0.616
"Oak","D-Glucitol",605,0.488
"Oak","myo-Inositol",67,0.447
"Oak","DL-Lactate",331,0.008
"Oak","Succinate",635,0.372
"Oak","Citrate",477,0.738
"Oak","D-Gluconate",428,0.791
"Oak","D-Glucosamine",291,0.669
"Oak","Nitrate",130,0.522
"Oak","Vitamin-free",146,0.427
"Oak","2-Keto-D-gluconate",345,0.841
"Oak","Starch formation",99,0.676
"Oak","Growth at 19°C",757,0.865
"Oak","Growth at 25°C",759,0.801
"Oak","Growth at 30°C",676,0.627
"Oak","Growth at 37°C",318,0.56
"Hibiscus","Glucose_F",595,0.569
"Hibiscus","Galactose_F",257,0.913
"Hibiscus","Sucrose_F",205,0.617
"Hibiscus","Maltose_F",162,0.642
"Hibiscus","Lactose_F",26,0.502
"Hibiscus","Raffinose_F",129,0.621
"Hibiscus","Trehalose_F",257,0.675
"Hibiscus","Glucose",816,1
"Hibiscus","Inulin",106,0.717
"Hibiscus","Sucrose",491,0.488
"Hibiscus","Raffinose",232,0.59
"Hibiscus","Melibiose",101,0.724
"Hibiscus","Galactose",527,0.334
"Hibiscus","Lactose",100,1
"Hibiscus","Trehalose",567,0.735
"Hibiscus","Maltose",456,0.431
"Hibiscus","Melezitose",374,0.534
"Hibiscus","Methyl-?-D-glucoside",379,0.56
"Hibiscus","Soluble Starch",195,0.818
"Hibiscus","Cellobiose",516,0.878
"Hibiscus","Salicin",509,0.831
"Hibiscus","L-Sorbose",423,0.178
"Hibiscus","L-Rhamnose",181,1
"Hibiscus","D-Xylose",566,0.662
"Hibiscus","L-Arabinose",286,0.922
"Hibiscus","D-Arabinose",246,0.934
"Hibiscus","D-Ribose",331,0.61
"Hibiscus","Methanol",67,1
"Hibiscus","Ethanol",688,0.832
"Hibiscus","Glycerol",722,0.704
"Hibiscus","Erythritol",220,1
"Hibiscus","Ribitol",490,0.595
"Hibiscus","Galactitol",98,0.694
"Hibiscus","D-Mannitol",659,0.737
"Hibiscus","D-Glucitol",645,0.664
"Hibiscus","myo-Inositol",75,1
"Hibiscus","DL-Lactate",377,0.896
"Hibiscus","Succinate",680,0.84
"Hibiscus","Citrate",504,0.732
"Hibiscus","D-Gluconate",450,0.643
"Hibiscus","D-Glucosamine",308,0.682
"Hibiscus","Nitrate",142,0.698
"Hibiscus","Vitamin-free",158,0.705
"Hibiscus","2-Keto-D-gluconate",354,0.139
"Hibiscus","Starch formation",107,1
"Hibiscus","Growth at 19°C",805,0.967
"Hibiscus","Growth at 25°C",807,0.95
"Hibiscus","Growth at 30°C",717,0.609
"Hibiscus","Growth at 37°C",339,0.697
"Beetle","Glucose_F",485,0.299
"Beetle","Galactose_F",196,0.47
"Beetle","Sucrose_F",172,0.874
"Beetle","Maltose_F",127,0.539
"Beetle","Lactose_F",23,0.724
"Beetle","Raffinose_F",117,0.973
"Beetle","Trehalose_F",175,0.024
"Beetle","Glucose",684,1
"Beetle","Inulin",101,0.992
"Beetle","Sucrose",391,0.315
"Beetle","Raffinose",213,0.998
"Beetle","Melibiose",89,0.883
"Beetle","Galactose",421,0.221
"Beetle","Lactose",85,0.821
"Beetle","Trehalose",454,0.25
"Beetle","Maltose",355,0.146
"Beetle","Melezitose",285,0.125
"Beetle","Methyl-?-D-glucoside",293,0.198
"Beetle","Soluble Starch",167,0.94
"Beetle","Cellobiose",409,0.256
"Beetle","Salicin",400,0.176
"Beetle","L-Sorbose",356,0.864
"Beetle","L-Rhamnose",143,0.588
"Beetle","D-Xylose",452,0.149
"Beetle","L-Arabinose",239,0.879
"Beetle","D-Arabinose",194,0.543
"Beetle","D-Ribose",255,0.224
"Beetle","Methanol",60,0.925
"Beetle","Ethanol",567,0.489
"Beetle","Glycerol",596,0.312
"Beetle","Erythritol",169,0.452
"Beetle","Ribitol",376,0.031
"Beetle","Galactitol",89,0.822
"Beetle","D-Mannitol",528,0.051
"Beetle","D-Glucitol",513,0.007
"Beetle","myo-Inositol",68,0.825
"Beetle","DL-Lactate",330,0.997
"Beetle","Succinate",551,0.138
"Beetle","Citrate",396,0.161
"Beetle","D-Gluconate",356,0.307
"Beetle","D-Glucosamine",230,0.116
"Beetle","Nitrate",133,0.992
"Beetle","Vitamin-free",141,0.981
"Beetle","2-Keto-D-gluconate",266,0.051
"Beetle","Starch formation",99,0.989
"Beetle","Growth at 19°C",673,0.775
"Beetle","Growth at 25°C",675,0.682
"Beetle","Growth at 30°C",594,0.483
"Beetle","Growth at 37°C",300,0.995
"Ant","Glucose_F",604,0.922
"Ant","Galactose_F",258,0.962
"Ant","Sucrose_F",207,0.908
"Ant","Maltose_F",163,0.767
"Ant","Lactose_F",29,1
"Ant","Raffinose_F",131,0.943
"Ant","Trehalose_F",261,1
"Ant","Glucose",827,1
"Ant","Inulin",106,0.874
"Ant","Sucrose",501,0.959
"Ant","Raffinose",235,0.911
"Ant","Melibiose",101,0.874
"Ant","Galactose",537,0.756
"Ant","Lactose",99,0.955
"Ant","Trehalose",576,0.979
"Ant","Maltose",465,0.877
"Ant","Melezitose",381,0.957
"Ant","Methyl-?-D-glucoside",385,0.841
"Ant","Soluble Starch",193,0.727
"Ant","Cellobiose",521,0.901
"Ant","Salicin",514,0.895
"Ant","L-Sorbose",434,0.823
"Ant","L-Rhamnose",179,0.764
"Ant","D-Xylose",575,0.922
"Ant","L-Arabinose",285,0.76
"Ant","D-Arabinose",245,0.831
"Ant","D-Ribose",335,0.805
"Ant","Methanol",67,1
"Ant","Ethanol",697,0.958
"Ant","Glycerol",733,0.931
"Ant","Erythritol",217,0.691
"Ant","Ribitol",498,0.891
"Ant","Galactitol",97,0.639
"Ant","D-Mannitol",668,0.893
"Ant","D-Glucitol",655,0.869
"Ant","myo-Inositol",74,0.745
"Ant","DL-Lactate",379,0.889
"Ant","Succinate",689,0.94
"Ant","Citrate",510,0.852
"Ant","D-Gluconate",455,0.673
"Ant","D-Glucosamine",312,0.946
"Ant","Nitrate",144,1
"Ant","Vitamin-free",159,0.882
"Ant","2-Keto-D-gluconate",365,0.941
"Ant","Starch formation",107,1
"Ant","Growth at 19°C",816,0.992
"Ant","Growth at 25°C",818,0.99
"Ant","Growth at 30°C",728,0.904
"Ant","Growth at 37°C",342,0.773
"Fruit.fly","Glucose_F",565,0.298
"Fruit.fly","Galactose_F",240,0.377
"Fruit.fly","Sucrose_F",189,0.187
"Fruit.fly","Maltose_F",152,0.421
"Fruit.fly","Lactose_F",25,0.427
"Fruit.fly","Raffinose_F",115,0.104
"Fruit.fly","Trehalose_F",241,0.378
"Fruit.fly","Glucose",777,1
"Fruit.fly","Inulin",99,0.505
"Fruit.fly","Sucrose",467,0.312
"Fruit.fly","Raffinose",219,0.351
"Fruit.fly","Melibiose",97,0.595
"Fruit.fly","Galactose",504,0.368
"Fruit.fly","Lactose",96,0.731
"Fruit.fly","Trehalose",545,0.756
"Fruit.fly","Maltose",436,0.424
"Fruit.fly","Melezitose",354,0.29
"Fruit.fly","Methyl-?-D-glucoside",363,0.528
"Fruit.fly","Soluble Starch",192,0.949
"Fruit.fly","Cellobiose",491,0.659
"Fruit.fly","Salicin",485,0.68
"Fruit.fly","L-Sorbose",400,0.121
"Fruit.fly","L-Rhamnose",176,0.864
"Fruit.fly","D-Xylose",544,0.752
"Fruit.fly","L-Arabinose",278,0.912
"Fruit.fly","D-Arabinose",240,0.872
"Fruit.fly","D-Ribose",330,0.974
"Fruit.fly","Methanol",66,0.925
"Fruit.fly","Ethanol",653,0.398
"Fruit.fly","Glycerol",692,0.671
"Fruit.fly","Erythritol",220,1
"Fruit.fly","Ribitol",470,0.623
"Fruit.fly","Galactitol",97,0.863
"Fruit.fly","D-Mannitol",626,0.532
"Fruit.fly","D-Glucitol",615,0.555
"Fruit.fly","myo-Inositol",72,0.787
"Fruit.fly","DL-Lactate",354,0.382
"Fruit.fly","Succinate",651,0.83
"Fruit.fly","Citrate",492,0.956
"Fruit.fly","D-Gluconate",430,0.562
"Fruit.fly","D-Glucosamine",299,0.792
"Fruit.fly","Nitrate",141,0.915
"Fruit.fly","Vitamin-free",157,0.914
"Fruit.fly","2-Keto-D-gluconate",340,0.32
"Fruit.fly","Starch formation",105,0.941
"Fruit.fly","Growth at 19°C",766,0.881
"Fruit.fly","Growth at 25°C",768,0.824
"Fruit.fly","Growth at 30°C",680,0.282
"Fruit.fly","Growth at 37°C",316,0.181
"Bee","Glucose_F",583,0.231
"Bee","Galactose_F",252,0.667
"Bee","Sucrose_F",197,0.151
"Bee","Maltose_F",154,0.127
"Bee","Lactose_F",23,0.053
"Bee","Raffinose_F",122,0.103
"Bee","Trehalose_F",253,0.5
"Bee","Glucose",804,1
"Bee","Inulin",107,0.887
"Bee","Sucrose",488,0.683
"Bee","Raffinose",226,0.307
"Bee","Melibiose",101,0.809
"Bee","Galactose",518,0.215
"Bee","Lactose",99,0.96
"Bee","Trehalose",569,0.973
"Bee","Maltose",455,0.749
"Bee","Melezitose",374,0.798
"Bee","Methyl-?-D-glucoside",378,0.707
"Bee","Soluble Starch",192,0.85
"Bee","Cellobiose",513,0.905
"Bee","Salicin",504,0.821
"Bee","L-Sorbose",416,0.113
"Bee","L-Rhamnose",179,0.946
"Bee","D-Xylose",570,0.986
"Bee","L-Arabinose",285,0.962
"Bee","D-Arabinose",245,0.977
"Bee","D-Ribose",325,0.407
"Bee","Methanol",67,1
"Bee","Ethanol",683,0.922
"Bee","Glycerol",712,0.601
"Bee","Erythritol",216,0.871
"Bee","Ribitol",490,0.883
"Bee","Galactitol",99,0.949
"Bee","D-Mannitol",646,0.427
"Bee","D-Glucitol",634,0.475
"Bee","myo-Inositol",74,0.947
"Bee","DL-Lactate",377,0.978
"Bee","Succinate",672,0.805
"Bee","Citrate",496,0.564
"Bee","D-Gluconate",440,0.287
"Bee","D-Glucosamine",308,0.874
"Bee","Nitrate",136,0.249
"Bee","Vitamin-free",158,0.871
"Bee","2-Keto-D-gluconate",352,0.328
"Bee","Starch formation",106,0.859
"Bee","Growth at 19°C",793,0.938
"Bee","Growth at 25°C",795,0.897
"Bee","Growth at 30°C",706,0.448
"Bee","Growth at 37°C",330,0.284
"Water","Glucose_F",603,0.766
"Water","Galactose_F",257,0.698
"Water","Sucrose_F",207,0.786
"Water","Maltose_F",163,0.732
"Water","Lactose_F",29,1
"Water","Raffinose_F",132,1
"Water","Trehalose_F",259,0.825
"Water","Glucose",827,1
"Water","Inulin",108,1
"Water","Sucrose",501,0.937
"Water","Raffinose",237,1
"Water","Melibiose",103,1
"Water","Galactose",539,0.921
"Water","Lactose",99,0.837
"Water","Trehalose",575,0.9
"Water","Maltose",465,0.85
"Water","Melezitose",380,0.78
"Water","Methyl-?-D-glucoside",385,0.762
"Water","Soluble Starch",194,0.815
"Water","Cellobiose",521,0.882
"Water","Salicin",514,0.851
"Water","L-Sorbose",435,0.861
"Water","L-Rhamnose",180,0.861
"Water","D-Xylose",575,0.912
"Water","L-Arabinose",287,0.91
"Water","D-Arabinose",246,0.9
"Water","D-Ribose",336,0.863
"Water","Methanol",66,0.8
"Water","Ethanol",696,0.884
"Water","Glycerol",733,0.916
"Water","Erythritol",219,0.873
"Water","Ribitol",499,0.939
"Water","Galactitol",100,1
"Water","D-Mannitol",668,0.908
"Water","D-Glucitol",655,0.866
"Water","myo-Inositol",75,1
"Water","DL-Lactate",378,0.69
"Water","Succinate",688,0.878
"Water","Citrate",511,0.917
"Water","D-Gluconate",456,0.826
"Water","D-Glucosamine",312,0.849
"Water","Nitrate",142,0.666
"Water","Vitamin-free",159,0.743
"Water","2-Keto-D-gluconate",364,0.744
"Water","Starch formation",107,1
"Water","Growth at 19°C",816,0.997
"Water","Growth at 25°C",818,0.986
"Water","Growth at 30°C",728,0.889
"Water","Growth at 37°C",343,0.859
"Tree.exudate","Glucose_F",564,0.215
"Tree.exudate","Galactose_F",243,0.621
"Tree.exudate","Sucrose_F",190,0.234
"Tree.exudate","Maltose_F",155,0.62
"Tree.exudate","Lactose_F",28,0.89
"Tree.exudate","Raffinose_F",122,0.391
"Tree.exudate","Trehalose_F",248,0.779
"Tree.exudate","Glucose",780,1
"Tree.exudate","Inulin",102,0.793
"Tree.exudate","Sucrose",471,0.568
"Tree.exudate","Raffinose",223,0.617
"Tree.exudate","Melibiose",98,0.813
"Tree.exudate","Galactose",517,0.927
"Tree.exudate","Lactose",97,0.843
"Tree.exudate","Trehalose",544,0.708
"Tree.exudate","Maltose",442,0.726
"Tree.exudate","Melezitose",359,0.59
"Tree.exudate","Methyl-?-D-glucoside",362,0.499
"Tree.exudate","Soluble Starch",189,0.906
"Tree.exudate","Cellobiose",492,0.616
"Tree.exudate","Salicin",485,0.557
"Tree.exudate","L-Sorbose",408,0.485
"Tree.exudate","L-Rhamnose",165,0.31
"Tree.exudate","D-Xylose",543,0.599
"Tree.exudate","L-Arabinose",273,0.773
"Tree.exudate","D-Arabinose",233,0.675
"Tree.exudate","D-Ribose",317,0.617
"Tree.exudate","Methanol",57,0.203
"Tree.exudate","Ethanol",652,0.255
"Tree.exudate","Glycerol",693,0.73
"Tree.exudate","Erythritol",205,0.566
"Tree.exudate","Ribitol",471,0.6
"Tree.exudate","Galactitol",96,0.871
"Tree.exudate","D-Mannitol",629,0.561
"Tree.exudate","D-Glucitol",615,0.429
"Tree.exudate","myo-Inositol",74,0.892
"Tree.exudate","DL-Lactate",347,0.106
"Tree.exudate","Succinate",648,0.516
"Tree.exudate","Citrate",486,0.817
"Tree.exudate","D-Gluconate",436,0.842
"Tree.exudate","D-Glucosamine",295,0.659
"Tree.exudate","Nitrate",137,0.772
"Tree.exudate","Vitamin-free",155,0.833
"Tree.exudate","2-Keto-D-gluconate",347,0.697
"Tree.exudate","Starch formation",105,0.942
"Tree.exudate","Growth at 19°C",769,0.89
"Tree.exudate","Growth at 25°C",771,0.835
"Tree.exudate","Growth at 30°C",684,0.358
"Tree.exudate","Growth at 37°C",318,0.279
"Tree.flux","Glucose_F",566,0.36
"Tree.flux","Galactose_F",243,0.644
"Tree.flux","Sucrose_F",195,0.566
"Tree.flux","Maltose_F",157,0.727
"Tree.flux","Lactose_F",28,0.782
"Tree.flux","Raffinose_F",122,0.554
"Tree.flux","Trehalose_F",249,0.82
"Tree.flux","Glucose",778,1
"Tree.flux","Inulin",99,0.573
"Tree.flux","Sucrose",471,0.572
"Tree.flux","Raffinose",224,0.747
"Tree.flux","Melibiose",96,0.683
"Tree.flux","Galactose",513,0.84
"Tree.flux","Lactose",96,0.805
"Tree.flux","Trehalose",545,0.778
"Tree.flux","Maltose",438,0.538
"Tree.flux","Melezitose",357,0.456
"Tree.flux","Methyl-?-D-glucoside",364,0.619
"Tree.flux","Soluble Starch",188,0.86
"Tree.flux","Cellobiose",495,0.801
"Tree.flux","Salicin",488,0.747
"Tree.flux","L-Sorbose",402,0.223
"Tree.flux","L-Rhamnose",163,0.208
"Tree.flux","D-Xylose",541,0.585
"Tree.flux","L-Arabinose",276,0.891
"Tree.flux","D-Arabinose",232,0.62
"Tree.flux","D-Ribose",316,0.589
"Tree.flux","Methanol",60,0.434
"Tree.flux","Ethanol",649,0.188
"Tree.flux","Glycerol",688,0.577
"Tree.flux","Erythritol",212,0.881
"Tree.flux","Ribitol",471,0.651
"Tree.flux","Galactitol",95,0.775
"Tree.flux","D-Mannitol",629,0.609
"Tree.flux","D-Glucitol",614,0.448
"Tree.flux","myo-Inositol",72,0.764
"Tree.flux","DL-Lactate",344,0.062
"Tree.flux","Succinate",642,0.243
"Tree.flux","Citrate",485,0.795
"Tree.flux","D-Gluconate",434,0.757
"Tree.flux","D-Glucosamine",298,0.761
"Tree.flux","Nitrate",137,0.721
"Tree.flux","Vitamin-free",151,0.57
"Tree.flux","2-Keto-D-gluconate",342,0.471
"Tree.flux","Starch formation",103,0.825
"Tree.flux","Growth at 19°C",767,0.874
"Tree.flux","Growth at 25°C",769,0.824
"Tree.flux","Growth at 30°C",683,0.327
"Tree.flux","Growth at 37°C",326,0.734
"Honey","Glucose_F",602,0.558
"Honey","Galactose_F",258,0.956
"Honey","Sucrose_F",207,0.583
"Honey","Maltose_F",162,0.301
"Honey","Lactose_F",29,1
"Honey","Raffinose_F",130,0.512
"Honey","Trehalose_F",261,1
"Honey","Glucose",826,1
"Honey","Inulin",108,1
"Honey","Sucrose",499,0.616
"Honey","Raffinose",234,0.537
"Honey","Melibiose",102,0.927
"Honey","Galactose",538,0.781
"Honey","Lactose",99,0.928
"Honey","Trehalose",576,0.926
"Honey","Maltose",464,0.627
"Honey","Melezitose",381,0.833
"Honey","Methyl-?-D-glucoside",386,0.831
"Honey","Soluble Starch",195,0.946
"Honey","Cellobiose",523,0.983
"Honey","Salicin",516,0.988
"Honey","L-Sorbose",434,0.709
"Honey","L-Rhamnose",180,0.929
"Honey","D-Xylose",577,0.986
"Honey","L-Arabinose",287,0.953
"Honey","D-Arabinose",246,0.962
"Honey","D-Ribose",336,0.816
"Honey","Methanol",67,1
"Honey","Ethanol",698,0.976
"Honey","Glycerol",732,0.859
"Honey","Erythritol",219,0.952
"Honey","Ribitol",500,0.983
"Honey","Galactitol",99,0.912
"Honey","D-Mannitol",668,0.881
"Honey","D-Glucitol",655,0.869
"Honey","myo-Inositol",74,0.919
"Honey","DL-Lactate",380,0.971
"Honey","Succinate",690,0.974
"Honey","Citrate",511,0.9
"Honey","D-Gluconate",456,0.745
"Honey","D-Glucosamine",313,0.957
"Honey","Nitrate",143,0.733
"Honey","Vitamin-free",160,0.754
"Honey","2-Keto-D-gluconate",363,0.447
"Honey","Starch formation",106,0.658
"Honey","Growth at 19°C",815,0.986
"Honey","Growth at 25°C",817,0.985
"Honey","Growth at 30°C",727,0.801
"Honey","Growth at 37°C",343,0.674
"Nematode","Glucose_F",607,1
"Nematode","Galactose_F",259,1
"Nematode","Sucrose_F",209,1
"Nematode","Maltose_F",165,1
"Nematode","Lactose_F",29,1
"Nematode","Raffinose_F",132,1
"Nematode","Trehalose_F",261,1
"Nematode","Glucose",826,1
"Nematode","Inulin",108,1
"Nematode","Sucrose",502,0.89
"Nematode","Raffinose",237,1
"Nematode","Melibiose",103,1
"Nematode","Galactose",541,1
"Nematode","Lactose",100,1
"Nematode","Trehalose",574,0.648
"Nematode","Maltose",468,1
"Nematode","Melezitose",383,1
"Nematode","Methyl-?-D-glucoside",388,1
"Nematode","Soluble Starch",195,0.656
"Nematode","Cellobiose",524,1
"Nematode","Salicin",517,1
"Nematode","L-Sorbose",432,0.28
"Nematode","L-Rhamnose",181,1
"Nematode","D-Xylose",577,0.927
"Nematode","L-Arabinose",288,1
"Nematode","D-Arabinose",247,1
"Nematode","D-Ribose",338,1
"Nematode","Methanol",67,1
"Nematode","Ethanol",695,0.691
"Nematode","Glycerol",732,0.796
"Nematode","Erythritol",220,1
"Nematode","Ribitol",501,1
"Nematode","Galactitol",100,1
"Nematode","D-Mannitol",668,0.808
"Nematode","D-Glucitol",655,0.783
