"Isolation","Trait","Observed_PP","Percent_PP"
"Pine","D-Glucosamine",312,0.464
"Pine","Nitrate",156,0.398
"Pine","Vitamin-free",185,0.813
"Pine","2-Keto-D-gluconate",361,0.427
"Pine","Starch formation",141,0.916
"Pine","Growth at 19°C",784,0.973
"Pine","Growth at 25°C",786,0.956
"Pine","Growth at 30°C",700,0.594
"Pine","Growth at 37°C",345,0.631
"Bromeliad","Glucose_F",605,0.889
"Bromeliad","Galactose_F",261,1
"Bromeliad","Sucrose_F",211,1
"Bromeliad","Maltose_F",163,0.621
"Bromeliad","Lactose_F",29,0.734
"Bromeliad","Raffinose_F",132,0.828
"Bromeliad","Trehalose_F",263,1
"Bromeliad","Glucose",829,1
"Bromeliad","Inulin",110,1
"Bromeliad","Sucrose",501,0.86
"Bromeliad","Raffinose",239,1
"Bromeliad","Melibiose",105,1
"Bromeliad","Galactose",541,0.952
"Bromeliad","Lactose",102,1
"Bromeliad","Trehalose",576,0.914
"Bromeliad","Maltose",466,0.822
"Bromeliad","Melezitose",381,0.782
"Bromeliad","Methyl-?-D-glucoside",386,0.779
"Bromeliad","Soluble Starch",198,1
"Bromeliad","Cellobiose",522,0.866
"Bromeliad","Salicin",515,0.857
"Bromeliad","L-Sorbose",435,0.808
"Bromeliad","L-Rhamnose",181,0.823
"Bromeliad","D-Xylose",576,0.907
"Bromeliad","L-Arabinose",290,1
"Bromeliad","D-Arabinose",249,1
"Bromeliad","D-Ribose",338,0.873
"Bromeliad","Methanol",69,1
"Bromeliad","Ethanol",698,0.938
"Bromeliad","Glycerol",735,0.969
"Bromeliad","Erythritol",218,0.696
"Bromeliad","Ribitol",499,0.853
"Bromeliad","Galactitol",102,1
"Bromeliad","D-Mannitol",670,0.951
"Bromeliad","D-Glucitol",657,0.941
"Bromeliad","myo-Inositol",77,1
"Bromeliad","DL-Lactate",383,1
"Bromeliad","Succinate",694,1
"Bromeliad","Citrate",513,0.942
"Bromeliad","D-Gluconate",457,0.813
"Bromeliad","D-Glucosamine",314,0.883
"Bromeliad","Nitrate",146,1
"Bromeliad","Vitamin-free",159,0.633
"Bromeliad","2-Keto-D-gluconate",367,0.9
"Bromeliad","Starch formation",107,0.776
"Bromeliad","Growth at 19°C",818,0.996
"Bromeliad","Growth at 25°C",820,0.992
"Bromeliad","Growth at 30°C",730,0.96
"Bromeliad","Growth at 37°C",347,1
"Flower","Glucose_F",540,0.028
"Flower","Galactose_F",304,0.872
"Flower","Sucrose_F",246,0.474
"Flower","Maltose_F",202,0.234
"Flower","Lactose_F",86,0.042
"Flower","Raffinose_F",179,0.296
"Flower","Trehalose_F",290,0.568
"Flower","Glucose",750,1
"Flower","Inulin",177,0.91
"Flower","Sucrose",454,0.098
"Flower","Raffinose",282,0.806
"Flower","Melibiose",176,0.869
"Flower","Galactose",478,0.016
"Flower","Lactose",173,0.895
"Flower","Trehalose",555,0.845
"Flower","Maltose",425,0.099
"Flower","Melezitose",356,0.09
"Flower","Methyl-?-D-glucoside",391,0.556
"Flower","Soluble Starch",263,0.975
"Flower","Cellobiose",493,0.54
"Flower","Salicin",484,0.429
"Flower","L-Sorbose",372,0
"Flower","L-Rhamnose",256,0.997
"Flower","D-Xylose",543,0.652
"Flower","L-Arabinose",349,0.985
"Flower","D-Arabinose",298,0.892
"Flower","D-Ribose",353,0.645
"Flower","Methanol",146,0.973
"Flower","Ethanol",651,0.748
"Flower","Glycerol",680,0.841
"Flower","Erythritol",295,0.996
"Flower","Ribitol",474,0.447
"Flower","Galactitol",171,0.875
"Flower","D-Mannitol",611,0.456
"Flower","D-Glucitol",594,0.236
"Flower","myo-Inositol",156,1
"Flower","DL-Lactate",418,0.989
"Flower","Succinate",641,0.719
"Flower","Citrate",488,0.518
"Flower","D-Gluconate",430,0.215
"Flower","D-Glucosamine",323,0.407
"Flower","Nitrate",207,0.798
"Flower","Vitamin-free",222,0.916
"Flower","2-Keto-D-gluconate",334,0.023
"Flower","Starch formation",182,0.981
"Flower","Growth at 19°C",741,0.946
"Flower","Growth at 25°C",743,0.895
"Flower","Growth at 30°C",663,0.494
"Flower","Growth at 37°C",366,0.788
"Cactus","Glucose_F",596,0.595
"Cactus","Galactose_F",284,0.759
"Cactus","Sucrose_F",234,0.613
"Cactus","Maltose_F",194,0.633
"Cactus","Lactose_F",74,0.824
"Cactus","Raffinose_F",167,0.622
"Cactus","Trehalose_F",284,0.621
"Cactus","Glucose",784,1
"Cactus","Inulin",149,0.818
"Cactus","Sucrose",514,0.882
"Cactus","Raffinose",268,0.805
"Cactus","Melibiose",146,0.842
"Cactus","Galactose",534,0.539
"Cactus","Lactose",143,0.844
"Cactus","Trehalose",589,0.954
"Cactus","Maltose",483,0.906
"Cactus","Melezitose",400,0.801
"Cactus","Methyl-?-D-glucoside",407,0.861
"Cactus","Soluble Starch",231,0.865
"Cactus","Cellobiose",525,0.739
"Cactus","Salicin",514,0.642
"Cactus","L-Sorbose",436,0.38
"Cactus","L-Rhamnose",212,0.595
"Cactus","D-Xylose",569,0.668
"Cactus","L-Arabinose",315,0.793
"Cactus","D-Arabinose",268,0.535
"Cactus","D-Ribose",357,0.726
"Cactus","Methanol",110,0.82
"Cactus","Ethanol",657,0.191
"Cactus","Glycerol",698,0.47
"Cactus","Erythritol",259,0.93
"Cactus","Ribitol",504,0.716
"Cactus","Galactitol",141,0.882
"Cactus","D-Mannitol",661,0.878
"Cactus","D-Glucitol",654,0.883
"Cactus","myo-Inositol",118,0.796
"Cactus","DL-Lactate",364,0.035
"Cactus","Succinate",653,0.297
"Cactus","Citrate",500,0.336
"Cactus","D-Gluconate",464,0.617
"Cactus","D-Glucosamine",325,0.398
"Cactus","Nitrate",185,0.898
"Cactus","Vitamin-free",204,0.975
"Cactus","2-Keto-D-gluconate",372,0.335
"Cactus","Starch formation",146,0.725
"Cactus","Growth at 19°C",773,0.881
"Cactus","Growth at 25°C",775,0.834
"Cactus","Growth at 30°C",685,0.099
"Cactus","Growth at 37°C",312,0.001
"Ipomoea","Glucose_F",583,0.298
"Ipomoea","Galactose_F",283,0.895
"Ipomoea","Sucrose_F",229,0.635
"Ipomoea","Maltose_F",187,0.566
"Ipomoea","Lactose_F",55,0.274
"Ipomoea","Raffinose_F",158,0.607
"Ipomoea","Trehalose_F",269,0.423
"Ipomoea","Glucose",797,1
"Ipomoea","Inulin",136,0.778
"Ipomoea","Sucrose",485,0.358
"Ipomoea","Raffinose",261,0.868
"Ipomoea","Melibiose",135,0.903
"Ipomoea","Galactose",509,0.052
"Ipomoea","Lactose",134,1
"Ipomoea","Trehalose",562,0.665
"Ipomoea","Maltose",452,0.367
"Ipomoea","Melezitose",371,0.281
"Ipomoea","Methyl-?-D-glucoside",390,0.62
"Ipomoea","Soluble Starch",230,1
"Ipomoea","Cellobiose",510,0.588
"Ipomoea","Salicin",503,0.546
"Ipomoea","L-Sorbose",403,0.004
"Ipomoea","L-Rhamnose",213,0.985
"Ipomoea","D-Xylose",560,0.597
"Ipomoea","L-Arabinose",320,0.99
"Ipomoea","D-Arabinose",273,0.901
"Ipomoea","D-Ribose",354,0.848
"Ipomoea","Methanol",101,1
"Ipomoea","Ethanol",678,0.765
"Ipomoea","Glycerol",709,0.719
"Ipomoea","Erythritol",254,1
"Ipomoea","Ribitol",485,0.401
"Ipomoea","Galactitol",132,0.884
"Ipomoea","D-Mannitol",638,0.344
"Ipomoea","D-Glucitol",625,0.252
"Ipomoea","myo-Inositol",109,1
"Ipomoea","DL-Lactate",403,0.984
"Ipomoea","Succinate",662,0.506
"Ipomoea","Citrate",497,0.413
"Ipomoea","D-Gluconate",449,0.429
"Ipomoea","D-Glucosamine",316,0.417
"Ipomoea","Nitrate",172,0.783
"Ipomoea","Vitamin-free",195,1
"Ipomoea","2-Keto-D-gluconate",349,0.075
"Ipomoea","Starch formation",141,1
"Ipomoea","Growth at 19°C",786,0.949
"Ipomoea","Growth at 25°C",788,0.891
"Ipomoea","Growth at 30°C",700,0.479
"Ipomoea","Growth at 37°C",353,0.681
"Oak","Glucose_F",576,0.638
"Oak","Galactose_F",284,0.682
"Oak","Sucrose_F",238,0.51
"Oak","Maltose_F",204,0.749
"Oak","Lactose_F",90,0.921
"Oak","Raffinose_F",169,0.38
"Oak","Trehalose_F",294,0.818
"Oak","Glucose",768,1
"Oak","Inulin",159,0.858
"Oak","Sucrose",492,0.661
"Oak","Raffinose",258,0.445
"Oak","Melibiose",150,0.684
"Oak","Galactose",538,0.893
"Oak","Lactose",145,0.582
"Oak","Trehalose",551,0.599
"Oak","Maltose",467,0.756
"Oak","Melezitose",386,0.569
"Oak","Methyl-?-D-glucoside",395,0.673
"Oak","Soluble Starch",229,0.64
"Oak","Cellobiose",509,0.67
"Oak","Salicin",500,0.55
"Oak","L-Sorbose",426,0.398
"Oak","L-Rhamnose",214,0.527
"Oak","D-Xylose",555,0.643
"Oak","L-Arabinose",309,0.706
"Oak","D-Arabinose",264,0.374
"Oak","D-Ribose",355,0.729
"Oak","Methanol",114,0.397
"Oak","Ethanol",649,0.409
"Oak","Glycerol",682,0.447
"Oak","Erythritol",255,0.8
"Oak","Ribitol",486,0.574
"Oak","Galactitol",157,0.941
"Oak","D-Mannitol",631,0.616
"Oak","D-Glucitol",614,0.488
"Oak","myo-Inositol",122,0.447
"Oak","DL-Lactate",344,0.008
"Oak","Succinate",641,0.372
"Oak","Citrate",504,0.738
"Oak","D-Gluconate",460,0.791
"Oak","D-Glucosamine",331,0.669
"Oak","Nitrate",179,0.522
"Oak","Vitamin-free",194,0.427
"Oak","2-Keto-D-gluconate",386,0.841
"Oak","Starch formation",154,0.676
"Oak","Growth at 19°C",757,0.865
"Oak","Growth at 25°C",759,0.801
"Oak","Growth at 30°C",683,0.627
"Oak","Growth at 37°C",354,0.56
"Hibiscus","Glucose_F",598,0.569
"Hibiscus","Galactose_F",270,0.913
"Hibiscus","Sucrose_F",216,0.617
"Hibiscus","Maltose_F",174,0.642
"Hibiscus","Lactose_F",38,0.502
"Hibiscus","Raffinose_F",141,0.621
"Hibiscus","Trehalose_F",268,0.675
"Hibiscus","Glucose",816,1
"Hibiscus","Inulin",119,0.717
"Hibiscus","Sucrose",494,0.488
"Hibiscus","Raffinose",242,0.59
"Hibiscus","Melibiose",114,0.724
"Hibiscus","Galactose",528,0.334
"Hibiscus","Lactose",115,1
"Hibiscus","Trehalose",571,0.735
"Hibiscus","Maltose",459,0.431
"Hibiscus","Melezitose",380,0.534
"Hibiscus","Methyl-?-D-glucoside",385,0.56
"Hibiscus","Soluble Starch",209,0.818
"Hibiscus","Cellobiose",523,0.878
"Hibiscus","Salicin",516,0.831
"Hibiscus","L-Sorbose",424,0.178
"Hibiscus","L-Rhamnose",196,1
"Hibiscus","D-Xylose",569,0.662
"Hibiscus","L-Arabinose",299,0.922
"Hibiscus","D-Arabinose",260,0.934
"Hibiscus","D-Ribose",339,0.61
"Hibiscus","Methanol",82,1
"Hibiscus","Ethanol",691,0.832
"Hibiscus","Glycerol",722,0.704
"Hibiscus","Erythritol",235,1
"Hibiscus","Ribitol",494,0.595
"Hibiscus","Galactitol",111,0.694
"Hibiscus","D-Mannitol",661,0.737
"Hibiscus","D-Glucitol",646,0.664
"Hibiscus","myo-Inositol",90,1
"Hibiscus","DL-Lactate",388,0.896
"Hibiscus","Succinate",683,0.84
"Hibiscus","Citrate",510,0.732
"Hibiscus","D-Gluconate",456,0.643
"Hibiscus","D-Glucosamine",317,0.682
"Hibiscus","Nitrate",155,0.698
"Hibiscus","Vitamin-free",170,0.705
"Hibiscus","2-Keto-D-gluconate",356,0.139
"Hibiscus","Starch formation",122,1
"Hibiscus","Growth at 19°C",805,0.967
"Hibiscus","Growth at 25°C",807,0.95
"Hibiscus","Growth at 30°C",717,0.609
"Hibiscus","Growth at 37°C",348,0.697
"Beetle","Glucose_F",510,0.299
"Beetle","Galactose_F",280,0.47
"Beetle","Sucrose_F",282,0.874
"Beetle","Maltose_F",236,0.539
"Beetle","Lactose_F",164,0.724
"Beetle","Raffinose_F",249,0.973
"Beetle","Trehalose_F",236,0.024
"Beetle","Glucose",684,1
"Beetle","Inulin",241,0.992
"Beetle","Sucrose",426,0.315
"Beetle","Raffinose",336,0.998
"Beetle","Melibiose",222,0.883
"Beetle","Galactose",448,0.221
"Beetle","Lactose",217,0.821
"Beetle","Trehalose",477,0.25
"Beetle","Maltose",389,0.146
"Beetle","Melezitose",334,0.125
"Beetle","Methyl-?-D-glucoside",345,0.198
"Beetle","Soluble Starch",285,0.94
"Beetle","Cellobiose",441,0.256
"Beetle","Salicin",430,0.176
"Beetle","L-Sorbose",422,0.864
"Beetle","L-Rhamnose",252,0.588
"Beetle","D-Xylose",473,0.149
"Beetle","L-Arabinose",337,0.879
"Beetle","D-Arabinose",288,0.543
"Beetle","D-Ribose",319,0.224
"Beetle","Methanol",200,0.925
"Beetle","Ethanol",581,0.489
"Beetle","Glycerol",602,0.312
"Beetle","Erythritol",265,0.452
"Beetle","Ribitol",398,0.031
"Beetle","Galactitol",225,0.822
"Beetle","D-Mannitol",531,0.051
"Beetle","D-Glucitol",514,0.007
"Beetle","myo-Inositol",208,0.825
"Beetle","DL-Lactate",426,0.997
"Beetle","Succinate",557,0.138
"Beetle","Citrate",426,0.161
"Beetle","D-Gluconate",400,0.307
"Beetle","D-Glucosamine",293,0.116
"Beetle","Nitrate",269,0.992
"Beetle","Vitamin-free",268,0.981
"Beetle","2-Keto-D-gluconate",312,0.051
"Beetle","Starch formation",238,0.989
"Beetle","Growth at 19°C",673,0.775
"Beetle","Growth at 25°C",675,0.682
"Beetle","Growth at 30°C",603,0.483
"Beetle","Growth at 37°C",402,0.995
"Ant","Glucose_F",605,0.922
"Ant","Galactose_F",261,0.962
"Ant","Sucrose_F",209,0.908
"Ant","Maltose_F",165,0.767
"Ant","Lactose_F",33,1
"Ant","Raffinose_F",134,0.943
"Ant","Trehalose_F",265,1
"Ant","Glucose",827,1
"Ant","Inulin",108,0.874
"Ant","Sucrose",503,0.959
"Ant","Raffinose",237,0.911
"Ant","Melibiose",103,0.874
"Ant","Galactose",537,0.756
"Ant","Lactose",102,0.955
"Ant","Trehalose",578,0.979
"Ant","Maltose",466,0.877
"Ant","Melezitose",383,0.957
"Ant","Methyl-?-D-glucoside",386,0.841
"Ant","Soluble Starch",194,0.727
"Ant","Cellobiose",522,0.901
"Ant","Salicin",515,0.895
"Ant","L-Sorbose",435,0.823
"Ant","L-Rhamnose",181,0.764
"Ant","D-Xylose",576,0.922
"Ant","L-Arabinose",286,0.76
"Ant","D-Arabinose",247,0.831
"Ant","D-Ribose",336,0.805
"Ant","Methanol",71,1
"Ant","Ethanol",698,0.958
"Ant","Glycerol",733,0.931
"Ant","Erythritol",218,0.691
"Ant","Ribitol",499,0.891
"Ant","Galactitol",98,0.639
"Ant","D-Mannitol",668,0.893
"Ant","D-Glucitol",655,0.869
"Ant","myo-Inositol",77,0.745
"Ant","DL-Lactate",381,0.889
"Ant","Succinate",690,0.94
"Ant","Citrate",511,0.852
"Ant","D-Gluconate",455,0.673
"Ant","D-Glucosamine",314,0.946
"Ant","Nitrate",148,1
"Ant","Vitamin-free",161,0.882
"Ant","2-Keto-D-gluconate",367,0.941
"Ant","Starch formation",111,1
"Ant","Growth at 19°C",816,0.992
"Ant","Growth at 25°C",818,0.99
"Ant","Growth at 30°C",728,0.904
"Ant","Growth at 37°C",343,0.773
"Fruit.fly","Glucose_F",577,0.298
"Fruit.fly","Galactose_F",275,0.377
"Fruit.fly","Sucrose_F",223,0.187
"Fruit.fly","Maltose_F",193,0.421
"Fruit.fly","Lactose_F",75,0.427
"Fruit.fly","Raffinose_F",152,0.104
"Fruit.fly","Trehalose_F",275,0.378
"Fruit.fly","Glucose",777,1
"Fruit.fly","Inulin",144,0.505
"Fruit.fly","Sucrose",485,0.312
"Fruit.fly","Raffinose",255,0.351
"Fruit.fly","Melibiose",145,0.595
"Fruit.fly","Galactose",521,0.368
"Fruit.fly","Lactose",146,0.731
"Fruit.fly","Trehalose",566,0.756
"Fruit.fly","Maltose",458,0.424
"Fruit.fly","Melezitose",379,0.29
"Fruit.fly","Methyl-?-D-glucoside",392,0.528
"Fruit.fly","Soluble Starch",242,0.949
"Fruit.fly","Cellobiose",512,0.659
"Fruit.fly","Salicin",507,0.68
"Fruit.fly","L-Sorbose",417,0.121
"Fruit.fly","L-Rhamnose",225,0.864
"Fruit.fly","D-Xylose",564,0.752
"Fruit.fly","L-Arabinose",322,0.912
"Fruit.fly","D-Arabinose",287,0.872
"Fruit.fly","D-Ribose",376,0.974
"Fruit.fly","Methanol",119,0.925
"Fruit.fly","Ethanol",660,0.398
"Fruit.fly","Glycerol",701,0.671
"Fruit.fly","Erythritol",274,1
"Fruit.fly","Ribitol",493,0.623
"Fruit.fly","Galactitol",148,0.863
"Fruit.fly","D-Mannitol",634,0.532
"Fruit.fly","D-Glucitol",625,0.555
"Fruit.fly","myo-Inositol",123,0.787
"Fruit.fly","DL-Lactate",381,0.382
"Fruit.fly","Succinate",664,0.83
"Fruit.fly","Citrate",525,0.956
"Fruit.fly","D-Gluconate",455,0.562
"Fruit.fly","D-Glucosamine",338,0.792
"Fruit.fly","Nitrate",192,0.915
"Fruit.fly","Vitamin-free",207,0.914
"Fruit.fly","2-Keto-D-gluconate",367,0.32
"Fruit.fly","Starch formation",157,0.941
"Fruit.fly","Growth at 19°C",766,0.881
"Fruit.fly","Growth at 25°C",768,0.824
"Fruit.fly","Growth at 30°C",682,0.282
"Fruit.fly","Growth at 37°C",341,0.181
"Bee","Glucose_F",586,0.231
"Bee","Galactose_F",272,0.667
"Bee","Sucrose_F",212,0.151
"Bee","Maltose_F",170,0.127
"Bee","Lactose_F",44,0.053
"Bee","Raffinose_F",139,0.103
"Bee","Trehalose_F",272,0.5
"Bee","Glucose",804,1
"Bee","Inulin",133,0.887
"Bee","Sucrose",500,0.683
"Bee","Raffinose",242,0.307
"Bee","Melibiose",126,0.809
"Bee","Galactose",522,0.215
"Bee","Lactose",125,0.96
"Bee","Trehalose",587,0.973
"Bee","Maltose",469,0.749
"Bee","Melezitose",392,0.798
"Bee","Methyl-?-D-glucoside",395,0.707
"Bee","Soluble Starch",215,0.85
"Bee","Cellobiose",529,0.905
"Bee","Salicin",518,0.821
"Bee","L-Sorbose",422,0.113
"Bee","L-Rhamnose",204,0.946
"Bee","D-Xylose",589,0.986
"Bee","L-Arabinose",309,0.962
"Bee","D-Arabinose",270,0.977
"Bee","D-Ribose",339,0.407
"Bee","Methanol",94,1
"Bee","Ethanol",693,0.922
"Bee","Glycerol",714,0.601
"Bee","Erythritol",239,0.871
"Bee","Ribitol",506,0.883
"Bee","Galactitol",125,0.949
"Bee","D-Mannitol",647,0.427
"Bee","D-Glucitol",636,0.475
"Bee","myo-Inositol",100,0.947
"Bee","DL-Lactate",400,0.978
"Bee","Succinate",679,0.805
"Bee","Citrate",506,0.564
"Bee","D-Gluconate",448,0.287
"Bee","D-Glucosamine",329,0.874
"Bee","Nitrate",155,0.249
"Bee","Vitamin-free",182,0.871
"Bee","2-Keto-D-gluconate",364,0.328
"Bee","Starch formation",132,0.859
"Bee","Growth at 19°C",793,0.938
"Bee","Growth at 25°C",795,0.897
"Bee","Growth at 30°C",707,0.448
"Bee","Growth at 37°C",342,0.284
"Water","Glucose_F",603,0.766
"Water","Galactose_F",259,0.698
"Water","Sucrose_F",209,0.786
"Water","Maltose_F",165,0.732
"Water","Lactose_F",33,1
"Water","Raffinose_F",136,1
"Water","Trehalose_F",261,0.825
"Water","Glucose",827,1
"Water","Inulin",112,1
"Water","Sucrose",503,0.937
"Water","Raffinose",241,1
"Water","Melibiose",107,1
"Water","Galactose",541,0.921
"Water","Lactose",102,0.837
"Water","Trehalose",576,0.9
"Water","Maltose",466,0.85
"Water","Melezitose",381,0.78
"Water","Methyl-?-D-glucoside",386,0.762
"Water","Soluble Starch",196,0.815
"Water","Cellobiose",522,0.882
"Water","Salicin",515,0.851
"Water","L-Sorbose",437,0.861
"Water","L-Rhamnose",183,0.861
"Water","D-Xylose",576,0.912
"Water","L-Arabinose",290,0.91
"Water","D-Arabinose",249,0.9
"Water","D-Ribose",338,0.863
"Water","Methanol",69,0.8
"Water","Ethanol",696,0.884
"Water","Glycerol",733,0.916
"Water","Erythritol",222,0.873
"Water","Ribitol",501,0.939
"Water","Galactitol",104,1
"Water","D-Mannitol",668,0.908
"Water","D-Glucitol",655,0.866
"Water","myo-Inositol",79,1
"Water","DL-Lactate",379,0.69
"Water","Succinate",688,0.878
"Water","Citrate",513,0.917
"Water","D-Gluconate",457,0.826
"Water","D-Glucosamine",314,0.849
"Water","Nitrate",144,0.666
"Water","Vitamin-free",161,0.743
"Water","2-Keto-D-gluconate",365,0.744
"Water","Starch formation",111,1
"Water","Growth at 19°C",816,0.997
"Water","Growth at 25°C",818,0.986
"Water","Growth at 30°C",728,0.889
"Water","Growth at 37°C",345,0.859
"Tree.exudate","Glucose_F",572,0.215
"Tree.exudate","Galactose_F",278,0.621
"Tree.exudate","Sucrose_F",222,0.234
"Tree.exudate","Maltose_F",196,0.62
"Tree.exudate","Lactose_F",78,0.89
"Tree.exudate","Raffinose_F",163,0.391
"Tree.exudate","Trehalose_F",286,0.779
"Tree.exudate","Glucose",780,1
"Tree.exudate","Inulin",147,0.793
"Tree.exudate","Sucrose",490,0.568
"Tree.exudate","Raffinose",260,0.617
"Tree.exudate","Melibiose",144,0.813
"Tree.exudate","Galactose",544,0.927
"Tree.exudate","Lactose",145,0.843
"Tree.exudate","Trehalose",561,0.708
"Tree.exudate","Maltose",467,0.726
"Tree.exudate","Melezitose",386,0.59
"Tree.exudate","Methyl-?-D-glucoside",387,0.499
"Tree.exudate","Soluble Starch",233,0.906
"Tree.exudate","Cellobiose",511,0.616
"Tree.exudate","Salicin",504,0.557
"Tree.exudate","L-Sorbose",430,0.485
"Tree.exudate","L-Rhamnose",200,0.31
"Tree.exudate","D-Xylose",559,0.599
"Tree.exudate","L-Arabinose",309,0.773
"Tree.exudate","D-Arabinose",270,0.675
"Tree.exudate","D-Ribose",347,0.617
"Tree.exudate","Methanol",98,0.203
"Tree.exudate","Ethanol",655,0.255
"Tree.exudate","Glycerol",700,0.73
"Tree.exudate","Erythritol",241,0.566
"Tree.exudate","Ribitol",492,0.6
"Tree.exudate","Galactitol",143,0.871
"Tree.exudate","D-Mannitol",637,0.561
"Tree.exudate","D-Glucitol",622,0.429
"Tree.exudate","myo-Inositol",124,0.892
"Tree.exudate","DL-Lactate",364,0.106
"Tree.exudate","Succinate",655,0.516
"Tree.exudate","Citrate",510,0.817
"Tree.exudate","D-Gluconate",464,0.842
"Tree.exudate","D-Glucosamine",327,0.659
"Tree.exudate","Nitrate",181,0.772
"Tree.exudate","Vitamin-free",200,0.833
"Tree.exudate","2-Keto-D-gluconate",378,0.697
"Tree.exudate","Starch formation",154,0.942
"Tree.exudate","Growth at 19°C",769,0.89
"Tree.exudate","Growth at 25°C",771,0.835
"Tree.exudate","Growth at 30°C",687,0.358
"Tree.exudate","Growth at 37°C",342,0.279
"Tree.flux","Glucose_F",578,0.36
"Tree.flux","Galactose_F",280,0.644
"Tree.flux","Sucrose_F",234,0.566
"Tree.flux","Maltose_F",202,0.727
"Tree.flux","Lactose_F",80,0.782
"Tree.flux","Raffinose_F",165,0.554
"Tree.flux","Trehalose_F",290,0.82
"Tree.flux","Glucose",778,1
"Tree.flux","Inulin",143,0.573
"Tree.flux","Sucrose",492,0.572
"Tree.flux","Raffinose",264,0.747
"Tree.flux","Melibiose",142,0.683
"Tree.flux","Galactose",538,0.84
"Tree.flux","Lactose",145,0.805
"Tree.flux","Trehalose",565,0.778
"Tree.flux","Maltose",461,0.538
"Tree.flux","Melezitose",384,0.456
"Tree.flux","Methyl-?-D-glucoside",393,0.619
"Tree.flux","Soluble Starch",233,0.86
"Tree.flux","Cellobiose",519,0.801
"Tree.flux","Salicin",512,0.747
"Tree.flux","L-Sorbose",420,0.223
"Tree.flux","L-Rhamnose",198,0.208
"Tree.flux","D-Xylose",557,0.585
"Tree.flux","L-Arabinose",317,0.891
"Tree.flux","D-Arabinose",270,0.62
"Tree.flux","D-Ribose",347,0.589
"Tree.flux","Methanol",106,0.434
"Tree.flux","Ethanol",651,0.188
"Tree.flux","Glycerol",692,0.577
"Tree.flux","Erythritol",257,0.881
"Tree.flux","Ribitol",494,0.651
"Tree.flux","Galactitol",143,0.775
"Tree.flux","D-Mannitol",639,0.609
"Tree.flux","D-Glucitol",622,0.448
"Tree.flux","myo-Inositol",122,0.764
"Tree.flux","DL-Lactate",360,0.062
"Tree.flux","Succinate",645,0.243
"Tree.flux","Citrate",510,0.795
"Tree.flux","D-Gluconate",462,0.757
"Tree.flux","D-Glucosamine",335,0.761
"Tree.flux","Nitrate",183,0.721
"Tree.flux","Vitamin-free",194,0.57
"Tree.flux","2-Keto-D-gluconate",370,0.471
"Tree.flux","Starch formation",152,0.825
"Tree.flux","Growth at 19°C",767,0.874
"Tree.flux","Growth at 25°C",769,0.824
"Tree.flux","Growth at 30°C",687,0.327
"Tree.flux","Growth at 37°C",360,0.734
"Honey","Glucose_F",602,0.558
"Honey","Galactose_F",262,0.956
"Honey","Sucrose_F",210,0.583
"Honey","Maltose_F",164,0.301
"Honey","Lactose_F",34,1
"Honey","Raffinose_F",133,0.512
"Honey","Trehalose_F",266,1
"Honey","Glucose",826,1
"Honey","Inulin",113,1
"Honey","Sucrose",500,0.616
"Honey","Raffinose",236,0.537
"Honey","Melibiose",106,0.927
"Honey","Galactose",540,0.781
"Honey","Lactose",103,0.928
"Honey","Trehalose",579,0.926
"Honey","Maltose",465,0.627
"Honey","Melezitose",384,0.833
"Honey","Methyl-?-D-glucoside",389,0.831
"Honey","Soluble Starch",199,0.946
"Honey","Cellobiose",527,0.983
"Honey","Salicin",520,0.988
"Honey","L-Sorbose",436,0.709
"Honey","L-Rhamnose",184,0.929
"Honey","D-Xylose",581,0.986
"Honey","L-Arabinose",291,0.953
"Honey","D-Arabinose",250,0.962
"Honey","D-Ribose",339,0.816
"Honey","Methanol",72,1
"Honey","Ethanol",701,0.976
"Honey","Glycerol",732,0.859
"Honey","Erythritol",223,0.952
"Honey","Ribitol",504,0.983
"Honey","Galactitol",103,0.912
"Honey","D-Mannitol",669,0.881
"Honey","D-Glucitol",656,0.869
"Honey","myo-Inositol",78,0.919
"Honey","DL-Lactate",384,0.971
"Honey","Succinate",693,0.974
"Honey","Citrate",514,0.9
"Honey","D-Gluconate",458,0.745
"Honey","D-Glucosamine",317,0.957
"Honey","Nitrate",147,0.733
"Honey","Vitamin-free",164,0.754
"Honey","2-Keto-D-gluconate",364,0.447
"Honey","Starch formation",110,0.658
"Honey","Growth at 19°C",815,0.986
"Honey","Growth at 25°C",817,0.985
"Honey","Growth at 30°C",727,0.801
"Honey","Growth at 37°C",346,0.674
"Nematode","Glucose_F",612,1
"Nematode","Galactose_F",264,1
"Nematode","Sucrose_F",214,1
"Nematode","Maltose_F",170,1
"Nematode","Lactose_F",34,1
"Nematode","Raffinose_F",137,1
"Nematode","Trehalose_F",266,1
"Nematode","Glucose",826,1
"Nematode","Inulin",113,1
"Nematode","Sucrose",506,0.89
"Nematode","Raffinose",242,1
"Nematode","Melibiose",108,1
"Nematode","Galactose",546,1
"Nematode","Lactose",105,1
"Nematode","Trehalose",575,0.648
"Nematode","Maltose",473,1
"Nematode","Melezitose",388,1
"Nematode","Methyl-?-D-glucoside",393,1
"Nematode","Soluble Starch",199,0.656
"Nematode","Cellobiose",529,1
"Nematode","Salicin",522,1
"Nematode","L-Sorbose",432,0.28
"Nematode","L-Rhamnose",186,1
"Nematode","D-Xylose",581,0.927
"Nematode","L-Arabinose",293,1
