"Isolation","Trait","Both_P","Both_N","Diff_PN","Diff_NP"
"Sugar.Cane","Galactose_F",2,569,3,257
"Sugar.Cane","Sucrose_F",3,620,2,206
"Sugar.Cane","Maltose_F",3,664,2,162
"Sugar.Cane","Lactose_F",0,797,5,29
"Sugar.Cane","Raffinose_F",2,696,3,130
"Sugar.Cane","Trehalose_F",3,568,2,258
"Sugar.Cane","Glucose",5,0,0,826
"Sugar.Cane","Inulin",1,719,4,107
"Sugar.Cane","Sucrose",5,328,0,498
"Sugar.Cane","Raffinose",2,591,3,235
"Sugar.Cane","Melibiose",1,724,4,102
"Sugar.Cane","Galactose",5,290,0,536
"Sugar.Cane","Lactose",0,726,5,100
"Sugar.Cane","Trehalose",4,252,1,574
"Sugar.Cane","Maltose",4,362,1,464
"Sugar.Cane","Melezitose",3,446,2,380
"Sugar.Cane","Methyl-?-D-glucoside",2,440,3,386
"Sugar.Cane","Soluble Starch",0,630,5,196
"Sugar.Cane","Cellobiose",2,304,3,522
"Sugar.Cane","Salicin",2,311,3,515
"Sugar.Cane","L-Sorbose",3,392,2,434
"Sugar.Cane","L-Rhamnose",2,647,3,179
"Sugar.Cane","D-Xylose",3,251,2,575
"Sugar.Cane","L-Arabinose",2,540,3,286
"Sugar.Cane","D-Arabinose",2,581,3,245
"Sugar.Cane","D-Ribose",3,491,2,335
"Sugar.Cane","Methanol",1,760,4,66
"Sugar.Cane","Ethanol",5,131,0,695
"Sugar.Cane","Glycerol",5,94,0,732
"Sugar.Cane","Erythritol",1,607,4,219
"Sugar.Cane","Ribitol",3,328,2,498
"Sugar.Cane","Galactitol",2,728,3,98
"Sugar.Cane","D-Mannitol",4,158,1,668
"Sugar.Cane","D-Glucitol",4,171,1,655
"Sugar.Cane","myo-Inositol",0,751,5,75
"Sugar.Cane","DL-Lactate",1,446,4,380
"Sugar.Cane","Succinate",3,137,2,689
"Sugar.Cane","Citrate",3,316,2,510
"Sugar.Cane","D-Gluconate",3,370,2,456
"Sugar.Cane","D-Glucosamine",1,513,4,313
"Sugar.Cane","Nitrate",2,684,3,142
"Sugar.Cane","Vitamin-free",1,666,4,160
"Sugar.Cane","2-Keto-D-gluconate",2,461,3,365
"Sugar.Cane","Starch formation",0,719,5,107
"Sugar.Cane","Growth at 19°C",5,11,0,815
"Sugar.Cane","Growth at 25°C",5,9,0,817
"Sugar.Cane","Growth at 30°C",5,99,0,727
"Sugar.Cane","Growth at 37°C",5,486,0,340
"Fermented","Glucose_F",69,219,5,538
"Fermented","Galactose_F",32,530,42,227
"Fermented","Sucrose_F",42,590,32,167
"Fermented","Maltose_F",29,621,45,136
"Fermented","Lactose_F",3,731,71,26
"Fermented","Raffinose_F",29,654,45,103
"Fermented","Trehalose_F",31,527,43,230
"Fermented","Glucose",74,0,0,757
"Fermented","Inulin",13,662,61,95
"Fermented","Sucrose",47,301,27,456
"Fermented","Raffinose",34,554,40,203
"Fermented","Melibiose",9,663,65,94
"Fermented","Galactose",47,263,27,494
"Fermented","Lactose",8,665,66,92
"Fermented","Trehalose",51,230,23,527
"Fermented","Maltose",40,329,34,428
"Fermented","Melezitose",30,404,44,353
"Fermented","Methyl-?-D-glucoside",28,397,46,360
"Fermented","Soluble Starch",15,576,59,181
"Fermented","Cellobiose",34,267,40,490
"Fermented","Salicin",34,274,40,483
"Fermented","L-Sorbose",35,355,39,402
"Fermented","L-Rhamnose",6,582,68,175
"Fermented","D-Xylose",38,217,36,540
"Fermented","L-Arabinose",18,487,56,270
"Fermented","D-Arabinose",14,524,60,233
"Fermented","D-Ribose",28,447,46,310
"Fermented","Methanol",2,692,72,65
"Fermented","Ethanol",64,121,10,636
"Fermented","Glycerol",64,84,10,673
"Fermented","Erythritol",14,551,60,206
"Fermented","Ribitol",38,294,36,463
"Fermented","Galactitol",9,666,65,91
"Fermented","D-Mannitol",49,134,25,623
"Fermented","D-Glucitol",47,145,27,612
"Fermented","myo-Inositol",2,684,72,73
"Fermented","DL-Lactate",43,419,31,338
"Fermented","Succinate",50,115,24,642
"Fermented","Citrate",38,282,36,475
"Fermented","D-Gluconate",40,338,34,419
"Fermented","D-Glucosamine",26,469,48,288
"Fermented","Nitrate",10,623,64,134
"Fermented","Vitamin-free",17,613,57,144
"Fermented","2-Keto-D-gluconate",34,424,40,333
"Fermented","Starch formation",5,655,69,102
"Fermented","Growth at 19°C",74,11,0,746
"Fermented","Growth at 25°C",74,9,0,748
"Fermented","Growth at 30°C",70,95,4,662
"Fermented","Growth at 37°C",43,455,31,302
"Wine","Glucose_F",22,217,7,585
"Wine","Galactose_F",6,549,23,253
"Wine","Sucrose_F",13,606,16,196
"Wine","Maltose_F",7,644,22,158
"Wine","Lactose_F",1,774,28,28
"Wine","Raffinose_F",10,680,19,122
"Wine","Trehalose_F",8,549,21,253
"Wine","Glucose",29,0,0,802
"Wine","Inulin",3,697,26,105
"Wine","Sucrose",17,316,12,486
"Wine","Raffinose",12,577,17,225
"Wine","Melibiose",5,704,24,98
"Wine","Galactose",16,277,13,525
"Wine","Lactose",3,705,26,97
"Wine","Trehalose",12,236,17,566
"Wine","Maltose",11,345,18,457
"Wine","Melezitose",8,427,21,375
"Wine","Methyl-?-D-glucoside",7,421,22,381
"Wine","Soluble Starch",3,609,26,193
"Wine","Cellobiose",11,289,18,513
"Wine","Salicin",11,296,18,506
"Wine","L-Sorbose",14,379,15,423
"Wine","L-Rhamnose",1,622,28,180
"Wine","D-Xylose",11,235,18,567
"Wine","L-Arabinose",5,519,24,283
"Wine","D-Arabinose",4,559,25,243
"Wine","D-Ribose",9,473,20,329
"Wine","Methanol",0,735,29,67
"Wine","Ethanol",23,125,6,677
"Wine","Glycerol",23,88,6,714
"Wine","Erythritol",4,586,25,216
"Wine","Ribitol",12,313,17,489
"Wine","Galactitol",5,707,24,95
"Wine","D-Mannitol",14,144,15,658
"Wine","D-Glucitol",15,158,14,644
"Wine","myo-Inositol",1,728,28,74
"Wine","DL-Lactate",16,437,13,365
"Wine","Succinate",18,128,11,674
"Wine","Citrate",13,302,16,500
"Wine","D-Gluconate",9,352,20,450
"Wine","D-Glucosamine",10,498,19,304
"Wine","Nitrate",3,661,26,141
"Wine","Vitamin-free",9,650,20,152
"Wine","2-Keto-D-gluconate",11,446,18,356
"Wine","Starch formation",2,697,27,105
"Wine","Growth at 19°C",29,11,0,791
"Wine","Growth at 25°C",29,9,0,793
"Wine","Growth at 30°C",28,98,1,704
"Wine","Growth at 37°C",19,476,10,326
"Beer","Glucose_F",23,221,3,584
"Beer","Galactose_F",13,559,13,246
"Beer","Sucrose_F",14,610,12,195
"Beer","Maltose_F",9,649,17,156
"Beer","Lactose_F",2,778,24,27
"Beer","Raffinose_F",11,684,15,121
"Beer","Trehalose_F",7,551,19,254
"Beer","Glucose",26,0,0,805
"Beer","Inulin",5,702,21,103
"Beer","Sucrose",15,317,11,488
"Beer","Raffinose",12,580,14,225
"Beer","Melibiose",2,704,24,101
"Beer","Galactose",18,282,8,523
"Beer","Lactose",4,709,22,96
"Beer","Trehalose",15,242,11,563
"Beer","Maltose",11,348,15,457
"Beer","Melezitose",10,432,16,373
"Beer","Methyl-?-D-glucoside",8,425,18,380
"Beer","Soluble Starch",2,611,24,194
"Beer","Cellobiose",11,292,15,513
"Beer","Salicin",11,299,15,506
"Beer","L-Sorbose",13,381,13,424
"Beer","L-Rhamnose",3,627,23,178
"Beer","D-Xylose",10,237,16,568
"Beer","L-Arabinose",5,522,21,283
"Beer","D-Arabinose",2,560,24,245
"Beer","D-Ribose",9,476,17,329
"Beer","Methanol",0,738,26,67
"Beer","Ethanol",24,129,2,676
"Beer","Glycerol",23,91,3,714
"Beer","Erythritol",2,587,24,218
"Beer","Ribitol",11,315,15,490
"Beer","Galactitol",2,707,24,98
"Beer","D-Mannitol",16,149,10,656
"Beer","D-Glucitol",14,160,12,645
"Beer","myo-Inositol",1,731,25,74
"Beer","DL-Lactate",18,442,8,363
"Beer","Succinate",17,130,9,675
"Beer","Citrate",12,304,14,501
"Beer","D-Gluconate",9,355,17,450
"Beer","D-Glucosamine",8,499,18,306
"Beer","Nitrate",2,663,24,142
"Beer","Vitamin-free",6,650,20,155
"Beer","2-Keto-D-gluconate",7,445,19,360
"Beer","Starch formation",2,700,24,105
"Beer","Growth at 19°C",26,11,0,794
"Beer","Growth at 25°C",26,9,0,796
"Beer","Growth at 30°C",24,97,2,708
"Beer","Growth at 37°C",11,471,15,334
"Tequila","Glucose_F",10,223,1,597
"Tequila","Galactose_F",7,568,4,252
"Tequila","Sucrose_F",6,617,5,203
"Tequila","Maltose_F",6,661,5,159
"Tequila","Lactose_F",0,791,11,29
"Tequila","Raffinose_F",3,691,8,129
"Tequila","Trehalose_F",8,567,3,253
"Tequila","Glucose",11,0,0,820
"Tequila","Inulin",3,715,8,105
"Tequila","Sucrose",8,325,3,495
"Tequila","Raffinose",3,586,8,234
"Tequila","Melibiose",0,717,11,103
"Tequila","Galactose",9,288,2,532
"Tequila","Lactose",1,721,10,99
"Tequila","Trehalose",9,251,2,569
"Tequila","Maltose",8,360,3,460
"Tequila","Melezitose",8,445,3,375
"Tequila","Methyl-?-D-glucoside",7,439,4,381
"Tequila","Soluble Starch",2,626,9,194
"Tequila","Cellobiose",7,303,4,517
"Tequila","Salicin",7,310,4,510
"Tequila","L-Sorbose",9,392,2,428
"Tequila","L-Rhamnose",2,641,9,179
"Tequila","D-Xylose",8,250,3,570
"Tequila","L-Arabinose",4,536,7,284
"Tequila","D-Arabinose",6,579,5,241
"Tequila","D-Ribose",5,487,6,333
"Tequila","Methanol",1,754,10,66
"Tequila","Ethanol",10,130,1,690
"Tequila","Glycerol",9,92,2,728
"Tequila","Erythritol",2,602,9,218
"Tequila","Ribitol",8,327,3,493
"Tequila","Galactitol",1,721,10,99
"Tequila","D-Mannitol",9,157,2,663
"Tequila","D-Glucitol",9,170,2,650
"Tequila","myo-Inositol",0,745,11,75
"Tequila","DL-Lactate",6,445,5,375
"Tequila","Succinate",9,137,2,683
"Tequila","Citrate",6,313,5,507
"Tequila","D-Gluconate",7,368,4,452
"Tequila","D-Glucosamine",5,511,6,309
"Tequila","Nitrate",1,677,10,143
"Tequila","Vitamin-free",1,660,10,160
"Tequila","2-Keto-D-gluconate",8,461,3,359
"Tequila","Starch formation",0,713,11,107
"Tequila","Growth at 19°C",11,11,0,809
"Tequila","Growth at 25°C",11,9,0,811
"Tequila","Growth at 30°C",11,99,0,721
"Tequila","Growth at 37°C",8,483,3,337
"Cider","Glucose_F",16,223,1,591
"Cider","Galactose_F",5,560,12,254
"Cider","Sucrose_F",5,610,12,204
"Cider","Maltose_F",4,653,13,161
"Cider","Lactose_F",1,786,16,28
"Cider","Raffinose_F",3,685,14,129
"Cider","Trehalose_F",8,561,9,253
"Cider","Glucose",17,0,0,814
"Cider","Inulin",1,707,16,107
"Cider","Sucrose",10,321,7,493
"Cider","Raffinose",4,581,13,233
"Cider","Melibiose",2,713,15,101
"Cider","Galactose",10,283,7,531
"Cider","Lactose",2,716,15,98
"Cider","Trehalose",11,247,6,567
"Cider","Maltose",10,356,7,458
"Cider","Melezitose",9,440,8,374
"Cider","Methyl-?-D-glucoside",9,435,8,379
"Cider","Soluble Starch",5,623,12,191
"Cider","Cellobiose",12,302,5,512
"Cider","Salicin",12,309,5,505
"Cider","L-Sorbose",10,387,7,427
"Cider","L-Rhamnose",3,636,14,178
"Cider","D-Xylose",11,247,6,567
"Cider","L-Arabinose",3,529,14,285
"Cider","D-Arabinose",4,571,13,243
"Cider","D-Ribose",6,482,11,332
"Cider","Methanol",1,748,16,66
"Cider","Ethanol",15,129,2,685
"Cider","Glycerol",15,92,2,722
"Cider","Erythritol",4,598,13,216
"Cider","Ribitol",10,323,7,491
"Cider","Galactitol",1,715,16,99
"Cider","D-Mannitol",12,154,5,660
"Cider","D-Glucitol",13,168,4,646
"Cider","myo-Inositol",1,740,16,74
"Cider","DL-Lactate",12,445,5,369
"Cider","Succinate",14,136,3,678
"Cider","Citrate",11,312,6,502
"Cider","D-Gluconate",10,365,7,449
"Cider","D-Glucosamine",9,509,8,305
"Cider","Nitrate",7,677,10,137
"Cider","Vitamin-free",3,656,14,158
"Cider","2-Keto-D-gluconate",9,456,8,358
"Cider","Starch formation",0,707,17,107
"Cider","Growth at 19°C",17,11,0,803
"Cider","Growth at 25°C",17,9,0,805
"Cider","Growth at 30°C",15,97,2,717
"Cider","Growth at 37°C",3,472,14,342
"Wood","Glucose_F",7,220,4,600
"Wood","Galactose_F",4,565,7,255
"Wood","Sucrose_F",3,614,8,206
"Wood","Maltose_F",3,658,8,162
"Wood","Lactose_F",0,791,11,29
"Wood","Raffinose_F",1,689,10,131
"Wood","Trehalose_F",4,563,7,257
"Wood","Glucose",11,0,0,820
"Wood","Inulin",2,714,9,106
"Wood","Sucrose",7,324,4,496
"Wood","Raffinose",5,588,6,232
"Wood","Melibiose",3,720,8,100
"Wood","Galactose",7,286,4,534
"Wood","Lactose",2,722,9,98
"Wood","Trehalose",9,251,2,569
"Wood","Maltose",7,359,4,461
"Wood","Melezitose",5,442,6,378
"Wood","Methyl-?-D-glucoside",7,439,4,381
"Wood","Soluble Starch",4,628,7,192
"Wood","Cellobiose",10,306,1,514
"Wood","Salicin",10,313,1,507
"Wood","L-Sorbose",7,390,4,430
"Wood","L-Rhamnose",7,646,4,174
"Wood","D-Xylose",10,252,1,568
"Wood","L-Arabinose",8,540,3,280
"Wood","D-Arabinose",6,579,5,241
"Wood","D-Ribose",8,490,3,330
"Wood","Methanol",2,755,9,65
"Wood","Ethanol",11,131,0,689
"Wood","Glycerol",11,94,0,726
"Wood","Erythritol",7,607,4,213
"Wood","Ribitol",9,328,2,492
"Wood","Galactitol",5,725,6,95
"Wood","D-Mannitol",11,159,0,661
"Wood","D-Glucitol",11,172,0,648
"Wood","myo-Inositol",3,748,8,72
"Wood","DL-Lactate",8,447,3,373
"Wood","Succinate",11,139,0,681
"Wood","Citrate",10,317,1,503
"Wood","D-Gluconate",5,366,6,454
"Wood","D-Glucosamine",3,509,8,311
"Wood","Nitrate",1,677,10,143
"Wood","Vitamin-free",3,662,8,158
"Wood","2-Keto-D-gluconate",4,457,7,363
"Wood","Starch formation",2,715,9,105
"Wood","Growth at 19°C",11,11,0,809
"Wood","Growth at 25°C",11,9,0,811
"Wood","Growth at 30°C",11,99,0,721
"Wood","Growth at 37°C",9,484,2,336
"Silage","Glucose_F",8,224,0,599
"Silage","Galactose_F",6,570,2,253
"Silage","Sucrose_F",4,618,4,205
"Silage","Maltose_F",3,661,5,162
"Silage","Lactose_F",0,794,8,29
"Silage","Raffinose_F",4,695,4,128
"Silage","Trehalose_F",4,566,4,257
"Silage","Glucose",8,0,0,823
"Silage","Inulin",0,715,8,108
"Silage","Sucrose",5,325,3,498
"Silage","Raffinose",4,590,4,233
"Silage","Melibiose",3,723,5,100
"Silage","Galactose",7,289,1,534
"Silage","Lactose",1,724,7,99
"Silage","Trehalose",6,251,2,572
"Silage","Maltose",3,358,5,465
"Silage","Melezitose",2,442,6,381
"Silage","Methyl-?-D-glucoside",2,437,6,386
"Silage","Soluble Starch",2,629,6,194
"Silage","Cellobiose",4,303,4,520
"Silage","Salicin",3,309,5,514
"Silage","L-Sorbose",2,388,6,435
"Silage","L-Rhamnose",2,644,6,179
"Silage","D-Xylose",5,250,3,573
"Silage","L-Arabinose",4,539,4,284
"Silage","D-Arabinose",2,578,6,245
"Silage","D-Ribose",6,491,2,332
"Silage","Methanol",0,756,8,67
"Silage","Ethanol",6,129,2,694
"Silage","Glycerol",7,93,1,730
"Silage","Erythritol",2,605,6,218
"Silage","Ribitol",3,325,5,498
"Silage","Galactitol",0,723,8,100
"Silage","D-Mannitol",6,157,2,666
"Silage","D-Glucitol",4,168,4,655
"Silage","myo-Inositol",1,749,7,74
"Silage","DL-Lactate",2,444,6,379
"Silage","Succinate",7,138,1,685
"Silage","Citrate",3,313,5,510
"Silage","D-Gluconate",5,369,3,454
"Silage","D-Glucosamine",4,513,4,310
"Silage","Nitrate",2,681,6,142
"Silage","Vitamin-free",2,664,6,159
"Silage","2-Keto-D-gluconate",5,461,3,362
"Silage","Starch formation",1,717,7,106
"Silage","Growth at 19°C",8,11,0,812
"Silage","Growth at 25°C",8,9,0,814
"Silage","Growth at 30°C",8,99,0,724
"Silage","Growth at 37°C",5,483,3,340
"Dairy","Glucose_F",17,221,3,590
"Dairy","Galactose_F",11,563,9,248
"Dairy","Sucrose_F",9,611,11,200
"Dairy","Maltose_F",5,651,15,160
"Dairy","Lactose_F",1,783,19,28
"Dairy","Raffinose_F",9,688,11,123
"Dairy","Trehalose_F",6,556,14,255
"Dairy","Glucose",20,0,0,811
"Dairy","Inulin",6,709,14,102
"Dairy","Sucrose",12,320,8,491
"Dairy","Raffinose",9,583,11,228
"Dairy","Melibiose",2,710,18,101
"Dairy","Galactose",16,286,4,525
"Dairy","Lactose",5,716,15,95
"Dairy","Trehalose",10,243,10,568
"Dairy","Maltose",6,349,14,462
"Dairy","Melezitose",5,433,15,378
"Dairy","Methyl-?-D-glucoside",6,429,14,382
"Dairy","Soluble Starch",2,617,18,194
"Dairy","Cellobiose",6,293,14,518
"Dairy","Salicin",6,300,14,511
"Dairy","L-Sorbose",13,387,7,424
"Dairy","L-Rhamnose",2,632,18,179
"Dairy","D-Xylose",12,245,8,566
"Dairy","L-Arabinose",4,527,16,284
"Dairy","D-Arabinose",4,568,16,243
"Dairy","D-Ribose",8,481,12,330
"Dairy","Methanol",2,746,18,65
"Dairy","Ethanol",17,128,3,683
"Dairy","Glycerol",18,92,2,719
"Dairy","Erythritol",5,596,15,215
"Dairy","Ribitol",11,321,9,490
"Dairy","Galactitol",2,713,18,98
"Dairy","D-Mannitol",13,152,7,659
"Dairy","D-Glucitol",14,166,6,645
"Dairy","myo-Inositol",1,737,19,74
"Dairy","DL-Lactate",14,444,6,367
"Dairy","Succinate",17,136,3,675
"Dairy","Citrate",13,311,7,500
"Dairy","D-Gluconate",9,361,11,450
"Dairy","D-Glucosamine",4,501,16,310
"Dairy","Nitrate",2,669,18,142
"Dairy","Vitamin-free",3,653,17,158
"Dairy","2-Keto-D-gluconate",4,448,16,363
"Dairy","Starch formation",3,707,17,104
"Dairy","Growth at 19°C",20,11,0,800
"Dairy","Growth at 25°C",20,9,0,802
"Dairy","Growth at 30°C",19,98,1,713
"Dairy","Growth at 37°C",12,478,8,333
"Olives","Glucose_F",12,223,1,595
"Olives","Galactose_F",7,566,6,252
"Olives","Sucrose_F",5,614,8,204
"Olives","Maltose_F",6,659,7,159
"Olives","Lactose_F",1,790,12,28
"Olives","Raffinose_F",3,689,10,129
"Olives","Trehalose_F",9,566,4,252
"Olives","Glucose",13,0,0,818
"Olives","Inulin",3,713,10,105
"Olives","Sucrose",9,324,4,494
"Olives","Raffinose",6,587,7,231
"Olives","Melibiose",3,718,10,100
"Olives","Galactose",10,287,3,531
"Olives","Lactose",3,721,10,97
"Olives","Trehalose",12,252,1,566
"Olives","Maltose",9,359,4,459
"Olives","Melezitose",8,443,5,375
"Olives","Methyl-?-D-glucoside",8,438,5,380
"Olives","Soluble Starch",3,625,10,193
"Olives","Cellobiose",9,303,4,515
"Olives","Salicin",9,310,4,508
"Olives","L-Sorbose",7,388,6,430
"Olives","L-Rhamnose",4,641,9,177
"Olives","D-Xylose",11,251,2,567
"Olives","L-Arabinose",7,537,6,281
"Olives","D-Arabinose",7,578,6,240
"Olives","D-Ribose",8,488,5,330
"Olives","Methanol",1,752,12,66
"Olives","Ethanol",12,130,1,688
"Olives","Glycerol",12,93,1,725
"Olives","Erythritol",3,601,10,217
"Olives","Ribitol",10,327,3,491
"Olives","Galactitol",4,722,9,96
"Olives","D-Mannitol",11,157,2,661
"Olives","D-Glucitol",11,170,2,648
"Olives","myo-Inositol",1,744,12,74
"Olives","DL-Lactate",6,443,7,375
"Olives","Succinate",12,138,1,680
"Olives","Citrate",9,314,4,504
"Olives","D-Gluconate",9,368,4,450
"Olives","D-Glucosamine",8,512,5,306
"Olives","Nitrate",2,676,11,142
"Olives","Vitamin-free",0,657,13,161
"Olives","2-Keto-D-gluconate",10,461,3,357
"Olives","Starch formation",0,711,13,107
"Olives","Growth at 19°C",13,11,0,807
"Olives","Growth at 25°C",13,9,0,809
"Olives","Growth at 30°C",13,99,0,719
"Olives","Growth at 37°C",7,480,6,338
