sp1,sp2,sp1_inc,sp2_inc,obs_cooccur,prob_cooccur,exp_cooccur,p_lt,p_gt,sp1_name,sp2_name,Association
2,54,11,100,1,0.002,1.3,0.61078,0.75817,Clinical,Lactose,Random
2,55,11,578,9,0.009,7.7,0.89439,0.29984,Clinical,Trehalose,Random
2,56,11,468,9,0.007,6.2,0.98332,0.07567,Clinical,Maltose,Random
2,57,11,383,9,0.006,5.1,0.99738,0.01717,Clinical,Melezitose,Positive
2,58,11,388,8,0.006,5.1,0.98103,0.0747,Clinical,Methyl-?-D-glucoside,Random
2,59,11,196,4,0.003,2.6,0.90821,0.24754,Clinical,Soluble Starch,Random
2,60,11,524,7,0.008,6.9,0.62821,0.61706,Clinical,Cellobiose,Random
2,61,11,517,7,0.008,6.8,0.65025,0.59402,Clinical,Salicin,Random
2,62,11,437,6,0.007,5.8,0.66548,0.57015,Clinical,L-Sorbose,Random
2,63,11,181,4,0.003,2.4,0.93169,0.20145,Clinical,L-Rhamnose,Random
2,64,11,578,9,0.009,7.7,0.89439,0.29984,Clinical,D-Xylose,Random
2,65,11,288,5,0.005,3.8,0.85858,0.32191,Clinical,L-Arabinose,Random
2,66,11,247,3,0.004,3.3,0.57774,0.68164,Clinical,D-Arabinose,Random
2,67,11,338,7,0.005,4.5,0.96833,0.10633,Clinical,D-Ribose,Random
2,69,11,700,10,0.011,9.3,0.85036,0.46214,Clinical,Ethanol,Random
2,70,11,737,11,0.012,9.8,1,0.26475,Clinical,Glycerol,Random
2,71,11,220,2,0.004,2.9,0.40934,0.8334,Clinical,Erythritol,Random
2,72,11,501,9,0.008,6.6,0.96928,0.12118,Clinical,Ribitol,Random
2,73,11,100,2,0.002,1.3,0.86373,0.38922,Clinical,Galactitol,Random
2,74,11,672,10,0.011,8.9,0.90481,0.34668,Clinical,D-Mannitol,Random
2,75,11,659,10,0.01,8.7,0.92334,0.30013,Clinical,D-Glucitol,Random
2,77,11,381,7,0.006,5,0.93307,0.18749,Clinical,DL-Lactate,Random
2,78,11,692,11,0.011,9.2,1,0.13174,Clinical,Succinate,Random
2,79,11,513,11,0.008,6.8,1,0.00476,Clinical,Citrate,Positive
2,80,11,459,10,0.007,6.1,0.99862,0.01398,Clinical,D-Gluconate,Positive
2,81,11,314,7,0.005,4.2,0.98039,0.0733,Clinical,D-Glucosamine,Random
2,82,11,144,2,0.002,1.9,0.70598,0.59398,Clinical,Nitrate,Random
2,83,11,161,3,0.003,2.1,0.85382,0.36169,Clinical,Vitamin-free,Random
2,84,11,367,7,0.006,4.9,0.94679,0.1579,Clinical,2-Keto-D-gluconate,Random
2,85,11,107,0,0.002,1.4,0.21738,1,Clinical,Starch formation,Random
2,86,11,820,11,0.013,10.9,1,0.86288,Clinical,Growth at 19°C,Random
2,87,11,822,11,0.013,10.9,1,0.88646,Clinical,Growth at 25°C,Random
2,88,11,732,11,0.012,9.7,1,0.24552,Clinical,Growth at 30°C,Random
2,89,11,345,10,0.005,4.6,0.99994,0.00097,Clinical,Growth at 37°C,Positive
3,41,98,607,69,0.086,71.6,0.30313,0.77446,Rotting.Decaying,Glucose_F,Random
3,42,98,259,29,0.037,30.5,0.4084,0.67926,Rotting.Decaying,Galactose_F,Random
3,43,98,209,18,0.03,24.6,0.06075,0.96504,Rotting.Decaying,Sucrose_F,Random
3,44,98,165,17,0.023,19.5,0.30415,0.78521,Rotting.Decaying,Maltose_F,Random
3,45,98,29,1,0.004,3.4,0.12365,0.97542,Rotting.Decaying,Lactose_F,Random
3,46,98,132,11,0.019,15.6,0.11307,0.93694,Rotting.Decaying,Raffinose_F,Random
3,47,98,261,35,0.037,30.8,0.8626,0.19356,Rotting.Decaying,Trehalose_F,Random
3,48,98,831,98,0.118,98,1,1,Rotting.Decaying,Glucose,Random
3,49,98,108,6,0.015,12.7,0.01715,0.99383,Rotting.Decaying,Inulin,Negative
3,50,98,503,52,0.071,59.3,0.06752,0.9565,Rotting.Decaying,Sucrose,Random
3,51,98,237,21,0.034,27.9,0.0597,0.96472,Rotting.Decaying,Raffinose,Random
3,52,98,103,10,0.015,12.1,0.30355,0.80402,Rotting.Decaying,Melibiose,Random
3,53,98,541,59,0.077,63.8,0.16579,0.88353,Rotting.Decaying,Galactose,Random
3,54,98,100,15,0.014,11.8,0.88746,0.1835,Rotting.Decaying,Lactose,Random
3,55,98,578,67,0.082,68.2,0.43392,0.65488,Rotting.Decaying,Trehalose,Random
3,56,98,468,50,0.066,55.2,0.15452,0.89117,Rotting.Decaying,Maltose,Random
3,57,98,383,40,0.054,45.2,0.15694,0.88958,Rotting.Decaying,Melezitose,Random
3,58,98,388,45,0.055,45.8,0.47865,0.60608,Rotting.Decaying,Methyl-?-D-glucoside,Random
3,59,98,196,22,0.028,23.1,0.44484,0.65332,Rotting.Decaying,Soluble Starch,Random
3,60,98,524,67,0.074,61.8,0.89912,0.14703,Rotting.Decaying,Cellobiose,Random
3,61,98,517,67,0.073,61,0.92753,0.10919,Rotting.Decaying,Salicin,Random
3,62,98,437,57,0.062,51.5,0.90082,0.14239,Rotting.Decaying,L-Sorbose,Random
